"","x"
"GSM2631621",0
"GSM2631659",0
"GSM2613791",0
"GSM2614586",0
"GSM2613542",0
"GSM2613069",0
"GSM2615171",0
"GSM2613003",0
"GSM2614875",0
"GSM2614520",0
"GSM2612671",0
"GSM2612965",0
"GSM2613481",0
"GSM2613657",0
"GSM2612692",0
"GSM2614056",0
"GSM2614183",0
"GSM2631649",0
"GSM2631668",0
"GSM2631505",0
"GSM2631635",0
"GSM2631533",0
"GSM2631640",0
"GSM2631479",0
"GSM2631581",0
"GSM2631475",0
"GSM2631540",0
"GSM2631551",0
"GSM2631610",0
"GSM2631522",0
"GSM2631506",0
"GSM2631577",0
"GSM2631492",0
"GSM2631564",0
"GSM2631491",0
"GSM2631513",0
"GSM2631661",0
"GSM2631669",0
"GSM2631526",0
"GSM2631593",0
"GSM2631586",0
"GSM2631653",0
"GSM2631464",0
"GSM2631501",0
"GSM2631500",0
"GSM2631515",0
"GSM2631629",0
"GSM2631518",0
"GSM2631658",0
"GSM2631541",0
"GSM2631498",0
"GSM2631536",0
"GSM2631608",0
"GSM2631452",0
"GSM2631618",0
"GSM2631600",0
"GSM2631667",0
"GSM2631609",0
"GSM2631454",0
"GSM2631480",0
"GSM2631482",0
"GSM2631557",0
"GSM2631642",0
"GSM2631606",0
"GSM2631613",0
"GSM2631630",0
"GSM2631470",0
"GSM2631590",0
"GSM2631639",0
"GSM2631652",0
"GSM2631655",0
"GSM2631643",0
"GSM2631647",0
"GSM2631672",0
"GSM2631673",0
"GSM2631663",0
"GSM2631494",0
"GSM2631596",0
"GSM2631510",0
"GSM2631461",0
"GSM2631677",0
"GSM2631530",0
"GSM2631664",0
"GSM2631636",0
"GSM2631555",0
"GSM2631572",0
"GSM2631442",0
"GSM2631560",0
"GSM2631502",0
"GSM2631579",0
"GSM2631645",0
"GSM2631594",0
"GSM2631542",0
"GSM2631451",0
"GSM2631441",0
"GSM2631607",0
"GSM2631532",0
"GSM2631481",0
"GSM2631473",0
"GSM2631436",0
"GSM2631651",0
"GSM2631495",0
"GSM2631511",0
"GSM2631524",0
"GSM2631457",0
"GSM2631627",0
"GSM2631654",0
"GSM2631666",0
"GSM2631671",0
"GSM2631496",0
"GSM2631616",0
"GSM2631477",0
"GSM2631520",0
"GSM2631545",0
"GSM2631471",0
"GSM2631678",0
"GSM2631484",0
"GSM2631676",0
"GSM2631565",0
"GSM2631468",0
"GSM2631539",0
"GSM2631624",0
"GSM2631625",0
"GSM2631488",0
"GSM2631552",0
"GSM2631614",0
"GSM2631516",0
"GSM2631631",0
"GSM2631512",0
"GSM2631612",0
"GSM2631628",0
"GSM2631660",0
"GSM2631650",0
"GSM2631563",0
"GSM2631447",0
"GSM2631474",0
"GSM2631634",0
"GSM2631434",0
"GSM2631525",0
"GSM2631567",0
"GSM2631617",0
"GSM2631591",0
"GSM2631543",0
"GSM2631546",0
"GSM2631648",0
"GSM2631556",0
"GSM2631578",0
"GSM2631602",0
"GSM2631623",0
"GSM2631517",0
"GSM2631561",0
"GSM2631528",0
"GSM2631489",0
"GSM2631534",0
"GSM2631675",0
"GSM2631504",0
"GSM2631598",0
"GSM2631657",0
"GSM2631458",0
"GSM2631562",0
"GSM2631582",0
"GSM2631523",0
"GSM2631453",0
"GSM2631537",0
"GSM2631499",0
"GSM2631580",0
"GSM2631438",0
"GSM2631576",0
"GSM2631456",0
"GSM2631455",0
"GSM2631472",0
"GSM2631544",0
"GSM2631460",0
"GSM2631469",0
"GSM2631575",0
"GSM2631583",0
"GSM2631550",0
"GSM2631446",0
"GSM2631478",0
"GSM2631440",0
"GSM2631465",0
"GSM2631431",0
"GSM2631585",0
"GSM2631670",0
"GSM2631622",0
"GSM2631508",0
"GSM2631674",0
"GSM2631486",0
"GSM2631569",0
"GSM2631619",0
"GSM2631665",0
"GSM2631587",0
"GSM2631615",0
