"","x"
"X1772092002_A07",0
"X1772094143_D09",0
"X1772096092_D08",0
"X1772099002_C05",0
"X1772096094_D01",0
"X1772092002_E10",0
"X1772092002_E07",0
"X1772084018_D12",0
"X1772099012_E04",0
"X1772094135_F02",0
"X1772096146_F07",0
"X1772096093_B05",0
"X1772099002_C02",0
"X1772092002_B10",0
"X1772096094_D09",0
"X1772092002_G07",0
"X1772096151_D11",0
"X1772099002_D02",0
"X1772096146_D08",0
"X1772096086_H03",1
"X1772096092_A10",1
"X1772096093_A11",1
"X1772096146_D02",1
"X1772096149_F12",1
"X1772096151_E01",1
"X1772099011_F04",1
"X1772096150_G01",2
"X1772094143_E08",2
"X1772096150_B08",2
"X1772096094_D02",2
"X1772099002_A12",2
"X1772096118_F09",2
"X1772096093_C10",2
"X1772096093_B10",3
"X1772096149_F01",3
"X1772096088_F01",3
"X1772099009_E05",4
"X1772096151_H08",4
"X1772099008_H01",4
"X1772082029_B09",4
"X1772082029_A03",4
"X1772099011_H05",4
"X1772099002_F11",4
"X1772082029_H02",5
"X1772082029_C12",5
"X1772082029_F04",5
"X1772082029_G10",5
"X1772082029_F03",5
"X1772082029_D11",5
"X1772072122_G08",5
"X1772082029_A08",5
"X1772082029_H08",5
"X1772072122_C10",5
"X1772082029_F02",6
"X1772082029_B07",6
"X1772072122_E09",6
"X1772072122_F03",6
"X1772072122_B10",6
"X1772072122_H05",6
"X1772072122_E05",7
"X1772072122_D08",7
"X1772082029_E04",7
"X1772072122_H12",7
"X1772082029_G03",7
"X1772082029_F05",8
"X1772082029_F01",8
"X1772082029_D07",8
"X1772082029_C03",8
"X1772072122_G07",8
"X1772082029_G11",9
"X1772072122_C08",9
"X1772072122_E03",9
"X1772082029_E01",9
"X1772082029_D09",9
"X1772072122_B04",9
"X1772072122_A07",9
"X1772082029_C05",9
"X1772082029_A02",9
"X1772072122_F04",9
"X1772082029_G06",10
"X1772082029_D02",10
"X1772082029_F07",10
"X1772082029_G04",11
"X1772072122_D07",11
"X1772072122_H11",11
"X1772082029_B04",11
"X1772072122_A11",12
"X1772072122_H10",12
"X1772096151_H03",12
"X1772072122_F10",13
"X1772082029_E06",13
"X1772072122_B11",13
"X1772072122_C01",13
"X1772072122_F11",13
"X1772072122_D09",13
"X1772082029_D03",14
"X1772082029_F11",14
"X1772072122_H04",14
"X1772096092_A02",15
"X1772099003_H07",15
"X1772082029_C02",15
"X1772082029_E09",15
"X1772072122_F08",15
"X1772082029_B06",15
"X1772096151_H09",16
"X1772099002_E08",16
"X1772082029_C04",16
"X1772096150_H04",16
"X1772096150_H03",16
"X1772099002_E02",16
"X1772096094_A10",17
"X1772099002_H04",17
"X1772099011_D01",18
"X1772084018_C07",18
"X1772096150_C08",18
"X1772072122_F12",19
"X1772072122_G09",19
"X1772082029_D12",19
"X1772072122_G01",19
"X1772072122_H02",20
"X1772082029_A09",20
"X1772072122_E12",20
"X1772072122_F05",20
"X1772082029_A04",21
"X1772072122_G02",21
"X1772096091_A02",21
"X1772072122_C07",22
"X1772082029_A06",22
"X1772072122_B05",23
"X1772082029_B03",23
"X1772072122_H06",23
"X1772099002_G09",24
"X1772082029_C06",24
"X1772072122_F06",24
"X1772072122_E01",24
"X1772082029_E10",24
"X1772072122_B08",25
"X1772072122_C12",25
"X1772072122_D11",25
"X1772072122_A09",26
"X1772082029_D05",26
"X1772072122_H08",26
"X1772072122_G04",26
"X1772072122_C05",26
"X1772072122_C09",26
"X1772072122_B03",26
"X1772082029_H05",26
"X1772082029_H06",26
"X1772072122_D10",27
"X1772082029_D08",27
"X1772072122_C11",27
"X1772072122_F01",27
"X1772082029_G12",27
"X1772082029_B08",28
"X1772082029_E05",28
"X1772082029_H10",28
"X1772082029_B12",28
"X1772072122_G12",28
"X1772072122_G06",28
"X1772072122_C02",28
"X1772092002_B05",29
"X1772092002_G05",29
"X1772072122_A12",29
"X1772072122_G10",30
"X1772072122_A10",30
"X1772072122_B12",30
"X1772096151_D03",30
"X1772092277_A10",30
"X1772072122_E08",30
"X1772072122_G05",31
"X1772072122_B07",31
"X1772072122_C03",31
"X1772082029_G01",31
"X1772072122_E10",31
"X1772082029_H11",32
"X1772082029_D06",32
"X1772099011_G07",32
"X1772072122_F09",33
"X1772082029_E07",33
"X1772082029_C07",33
"X1772072122_F02",33
"X1772072122_E04",33
"X1772082029_C11",34
"X1772082029_G05",34
"X1772082029_C10",34
"X1772072122_A06",35
"X1772082029_D01",35
"X1772082029_A05",35
"X1772099008_A08",35
"X1772072122_B06",35
"X1772082029_B02",35
"X1772082029_B10",35
"X1772072122_D04",35
"X1772082029_A11",35
"X1772096151_C04",36
"X1772099008_G08",36
"X1772092002_A10",36
"X1772082029_C09",37
"X1772072122_E02",37
"X1772072122_B09",37
"X1772082029_B05",37
"X1772082029_C01",37
"X1772082029_F06",37
"X1772072122_H09",37
"X1772082029_H03",37
"X1772072122_E07",37
"X1772072122_A04",37
"X1772072122_D01",37
"X1772082029_G02",38
"X1772072122_D05",38
"X1772099003_A05",38
"X1772082029_E12",38
"X1772082029_H12",39
"X1772082029_F10",39
"X1772096116_G04",39
"X1772082029_B11",40
"X1772072122_D06",40
"X1772082029_G09",40
"X1772082029_E02",41
"X1772082029_H07",41
"X1772092002_D10",41
"X1772082029_E03",42
"X1772072122_F07",42
"X1772082029_D10",42
"X1772082029_H04",42
"X1772072122_E06",42
"X1772099003_F09",42
