"dim1","dim2"
"X1772072122_A04",5.73355720837368,5.51758609014577
"X1772072122_A06",6.12323806817935,4.02758677737782
"X1772072122_A07",-0.572718228837799,-4.67375970612877
"X1772072122_A09",-3.78583939567166,-7.60937193494357
"X1772072122_A10",4.36898961034975,4.20590483334712
"X1772072122_A11",3.61709286083275,5.80579703799959
"X1772072122_A12",5.17919426619336,5.6328983735416
"X1772072122_B03",3.95441043897344,6.08375552527595
"X1772072122_B04",-3.94599198253779,-9.2516316251152
"X1772072122_B05",3.60676969379068,4.49375230606006
"X1772072122_B06",5.33721650695479,3.69389229571939
"X1772072122_B07",5.33721650695479,3.6938922957194
"X1772072122_B08",5.13355835990005,3.43946561140722
"X1772072122_B09",4.40750827439366,5.40516346079873
"X1772072122_B10",6.31512725966799,4.23765071420577
"X1772072122_B11",3.73299686271063,5.7504240444542
"X1772072122_B12",4.76855207364143,3.35002974028232
"X1772072122_C01",2.86324138336295,0.811029534603937
"X1772072122_C02",5.4916591140077,5.18319500381891
"X1772072122_C03",5.31330415345604,5.89941891140714
"X1772072122_C05",4.73560423088711,6.3985511148794
"X1772072122_C07",5.10473826367455,6.41232784692365
"X1772072122_C08",-6.45391864444283,-6.2182078430465
"X1772072122_C09",4.18237130010332,4.19106819004049
"X1772072122_C10",-0.64188460879575,-2.23523006586484
"X1772072122_C11",5.2454470670747,4.96374706925995
"X1772072122_C12",4.90581470130558,4.19328088563341
"X1772072122_D01",4.56859664457604,6.45055993008787
"X1772072122_D04",-7.42284015327352,-8.94247500323222
"X1772072122_D05",2.20794947553488,6.2009708949136
"X1772072122_D06",5.81794246852524,3.61876126074902
"X1772072122_D07",6.43364595470265,5.23440210892021
"X1772072122_D08",5.73161292711908,6.16858146732058
"X1772072122_D09",-3.78583939567166,-7.60937193494357
"X1772072122_D10",6.44125409318125,7.28127303908777
"X1772072122_D11",-0.752683887028426,-4.05412152802004
"X1772072122_E01",4.13268499166878,6.23585532356676
"X1772072122_E02",-3.78583939567166,-7.60937193494357
"X1772072122_E03",-0.752683887028427,-4.05412152802004
"X1772072122_E04",5.94825193117389,5.86937134260742
"X1772072122_E05",4.39118052032949,4.3918629208051
"X1772072122_E06",5.24113036176771,4.03750711458681
"X1772072122_E07",4.1985285268982,4.95399485579872
"X1772072122_E08",6.04490743623089,2.07562747243306
"X1772072122_E09",-0.752239819701879,-4.0544674169149
