"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Plp1","Plp1",10.1961102846908,0.917122388442764,1.25073437093065,8.25535081314988e-33
"Apod","Apod",8.5239539394967,0.961211818441336,1.08639021308911,4.5013806363733e-25
"S100b","S100b",7.57818396809009,0.966949611703088,0.974238175667094,2.01216729816534e-20
"Trf","Trf",7.63734941083314,0.938043652780008,0.952707164393213,1.37442871914898e-19
"Mal","Mal",7.54766574835342,0.937018321250365,0.940502801910504,4.00666798900821e-19
"Mbp","Mbp",7.01234519041983,0.915424559350545,0.852181556749111,6.10900623785368e-16
"Anxa1","Anxa1",6.84674402324487,0.931965829454192,0.848418215856942,8.21496675246914e-16
"Malat1","Malat1",11.2726880980679,0.377912793634586,0.845719749502919,1.01505737737552e-15
"Mog","Mog",6.64529816394863,0.944553342365455,0.837117858380053,1.98349125599813e-15
"Ugt8a","Ugt8a",6.67383905599044,0.931882487508278,0.827781977253305,4.07209380586163e-15
"Aldh1a1","Aldh1a1",8.30879406721648,0.718779055159502,0.81713786187372,9.15570685057089e-15
"Mobp","Mobp",6.26865895502767,0.937177428984623,0.786515384172152,8.88275905871875e-14
"Klk6","Klk6",5.73063995591679,0.983442763345704,0.772648894280813,2.41542835904533e-13
"Cldn11","Cldn11",6.1106138055009,0.936943152842358,0.768502559291588,3.24637438633498e-13
"9630013A20Rik","9630013A20Rik",5.46270675067016,0.994358407079646,0.753683650379233,9.21850039061668e-13
"Mag","Mag",5.88508622529017,0.937663349993122,0.744050632397973,1.79707763399497e-12
"Cnp","Cnp",5.95652136333312,0.924575676640368,0.738918960014159,2.5555379564549e-12
"Opalin","Opalin",5.52669484554198,0.967431220275721,0.733913044029511,3.59443773392277e-12
"Car2","Car2",5.70321146739115,0.935348464850596,0.721503057085025,8.29011241178874e-12
"Vip","Vip",5.09169983413681,0.999508357915437,0.71682823230576,1.13154558381491e-11
"Apoe","Apoe",5.1333991254172,0.992165965472218,0.714264073287775,1.34093826572437e-11
"Tspan2","Tspan2",6.15177765473205,0.860598398651496,0.696774334826705,4.20068474278484e-11
"Cd9","Cd9",5.83541884047548,0.895204598744422,0.696065286751608,4.39709635932561e-11
"Itih5","Itih5",4.91169158187234,0.993620086437539,0.690092206402504,6.44984787356706e-11
"Spp1","Spp1",5.04875931191986,0.973893805309734,0.686274341536203,8.22525093257988e-11
"Ermn","Ermn",5.39574832817903,0.931901575652925,0.683716956067384,9.67293239987275e-11
"Cryab","Cryab",5.25171909260596,0.947002838537318,0.682570301186438,1.04002158988902e-10
"Sparc","Sparc",5.09169983413681,0.962969936609552,0.680289810999875,1.20088723588339e-10
"Gsn","Gsn",5.67525138605026,0.896830317719783,0.679873321501513,1.23278368264156e-10
"Sepp1","Sepp1",5.17392693199981,0.947136416764067,0.673862260779961,1.79648768037304e-10
"Enpp2","Enpp2",6.67383905599044,0.767690797790938,0.663590287535965,3.39262829528338e-10
"Atp1a2","Atp1a2",4.64961545906341,0.966194690265487,0.631532059382248,2.31809035108959e-09
"Ptn","Ptn",5.49505552836802,0.865002678884845,0.62794809111362,2.85681841408199e-09
"1700094D03Rik","1700094D03Rik",4.70597790168252,0.954496956003264,0.62661971716673,3.08595174663259e-09
"Aspa","Aspa",4.64961545906341,0.956735496558505,0.622072865675266,4.01369614593634e-09
"Lyz2","Lyz2",4.17791779219584,0.99798873692679,0.604157337213146,1.10998060280757e-08
"Ctss","Ctss",4.17791779219584,0.99646017699115,0.602628777277506,1.20896899603409e-08
"Pdlim2","Pdlim2",4.39917109381982,0.961314791403287,0.595809473127119,1.7651974620642e-08
"Gad2","Gad2",4.39917109381982,0.960393588712173,0.594888270436005,1.85719182573321e-08
"Calca","Calca",4.32912359629157,0.966814159292035,0.592458926717503,2.12265442882752e-08
"Sept4","Sept4",4.64961545906341,0.9234826137481,0.588819982864861,2.5903148278938e-08
"Psat1","Psat1",4.86294724802092,0.898007613585801,0.588765068114402,2.59808568900188e-08
"Crh","Crh",4.09592441999854,0.986883691529709,0.582263578233905,3.69678854875401e-08
"Irgm1","Irgm1",4.39917109381982,0.942935611840098,0.57743029356393,4.79296880073125e-08
"Nfkbia","Nfkbia",4.64961545906341,0.907765175121526,0.573102544238287,6.03671286143863e-08
"Fa2h","Fa2h",4.32912359629157,0.94578774998258,0.571432517408048,6.59577660158944e-08
"Csf1r","Csf1r",3.91647664443772,0.996207332490518,0.567368626070385,8.17346139911021e-08
"Vtn","Vtn",3.91647664443772,0.995767602924202,0.566928896504069,8.36459327818012e-08
"Olig1","Olig1",4.32912359629157,0.937619902221672,0.56326466964714,1.01344185502668e-07
"Ier5","Ier5",4.00898878322726,0.979351032448378,0.563105363511461,1.02190529755712e-07
"Gpm6b","Gpm6b",6.15177765473205,0.725963905332549,0.562139841507758,1.0746809872284e-07
"Scd2","Scd2",7.18090370917938,0.596836010051349,0.554603756191829,1.58744829072424e-07
"Tac1","Tac1",4.00898878322726,0.970836685438455,0.554591016501538,1.58848853024261e-07
"Prom1","Prom1",3.81762325751143,0.995206489675516,0.552645643212288,1.75530085932949e-07
"Qk","Qk",5.21334728173344,0.82113982300885,0.55235253215032,1.78185669486469e-07
"Fth1","Fth1",7.64457735701838,0.532520650370907,0.548085122447787,2.2152840163744e-07
"Egr1","Egr1",4.46597446450407,0.904918707552994,0.547758231992203,2.25238611863333e-07
"Elovl7","Elovl7",4.25550073314839,0.929301868239921,0.545529264758127,2.52183202849745e-07
