"","cell.ID","cluster.ID"
"1","X1772071015_C02","Cluster_2"
"2","X1772071017_G12","Cluster_2"
"3","X1772071017_A05","Cluster_2"
"4","X1772071014_B06","Cluster_2"
"5","X1772067065_H06","Cluster_1"
"6","X1772071017_E02","Cluster_1"
"7","X1772067065_B07","Cluster_2"
"8","X1772067060_B09","Cluster_1"
"9","X1772071014_E04","Cluster_2"
"10","X1772071015_D04","Cluster_1"
"11","X1772071015_C11","Cluster_2"
"12","X1772071017_D04","Cluster_2"
"13","X1772071017_D06","Cluster_2"
"14","X1772067082_D07","Cluster_2"
"15","X1772071017_F09","Cluster_2"
"16","X1772067094_C05","Cluster_2"
"17","X1772067096_E05","Cluster_1"
"18","X1772066089_C05","Cluster_1"
"19","X1772067094_F04","Cluster_1"
"20","X1772071045_A01","Cluster_1"
"21","X1772071015_C08","Cluster_1"
"22","X1772071045_D06","Cluster_1"
"23","X1772071017_E06","Cluster_2"
"24","X1772067066_C10","Cluster_2"
"25","X1772071017_B05","Cluster_2"
"26","X1772071014_E06","Cluster_2"
"27","X1772071014_B04","Cluster_2"
"28","X1772067066_B09","Cluster_2"
"29","X1772071017_E10","Cluster_2"
"30","X1772071015_B08","Cluster_2"
"31","X1772071014_C11","Cluster_2"
"32","X1772067066_E10","Cluster_2"
"33","X1772067065_F11","Cluster_2"
"34","X1772071014_H11","Cluster_1"
"35","X1772071017_B11","Cluster_1"
"36","X1772071014_A07","Cluster_1"
"37","X1772071017_B03","Cluster_1"
"38","X1772071015_B04","Cluster_1"
"39","X1772071014_D03","Cluster_1"
"40","X1772067065_D06","Cluster_1"
"41","X1772067066_H08","Cluster_1"
"42","X1772067096_G11","Cluster_1"
"43","X1772071017_G11","Cluster_1"
"44","X1772067054_E12","Cluster_1"
"45","X1772067083_B12","Cluster_1"
"46","X1772067054_G01","Cluster_1"
"47","X1772067096_A02","Cluster_1"
"48","X1772067093_H05","Cluster_1"
"49","X1772067083_B09","Cluster_1"
"50","X1772071014_H12","Cluster_1"
"51","X1772067082_H11","Cluster_1"
"52","X1772067094_D06","Cluster_1"
"53","X1772071015_F03","Cluster_2"
"54","X1772071015_B11","Cluster_3"
"55","X1772071014_G10","Cluster_2"
"56","X1772067066_B07","Cluster_2"
"57","X1772067065_G01","Cluster_2"
"58","X1772067065_E07","Cluster_2"
"59","X1772071015_C10","Cluster_2"
"60","X1772067063_E06","Cluster_2"
"61","X1772071015_G12","Cluster_1"
"62","X1772067058_D07","Cluster_1"
"63","X1772067065_D01","Cluster_1"
"64","X1772071015_A02","Cluster_1"
"65","X1772071014_F01","Cluster_1"
"66","X1772071015_D06","Cluster_1"
"67","X1772071017_A11","Cluster_1"
"68","X1772071017_B01","Cluster_1"
"69","X1772071017_C07","Cluster_1"
"70","X1772071015_H11","Cluster_1"
"71","X1772071014_A05","Cluster_2"
"72","X1772071017_A10","Cluster_1"
"73","X1772071017_C08","Cluster_1"
"74","X1772071017_B09","Cluster_1"
"75","X1772067066_A09","Cluster_1"
"76","X1772067065_A12","Cluster_1"
"77","X1772071015_G04","Cluster_1"
"78","X1772067066_B02","Cluster_1"
"79","X1772071015_E06","Cluster_1"
"80","X1772067064_E04","Cluster_1"
