"","sc3_5_clusters"
"X1772072122_A04","1"
"X1772072122_A06","1"
"X1772072122_A07","3"
"X1772072122_A09","4"
"X1772072122_A10","1"
"X1772072122_A11","4"
"X1772072122_A12","1"
"X1772072122_B03","1"
"X1772072122_B04","4"
"X1772072122_B05","2"
"X1772072122_B06","4"
"X1772072122_B07","1"
"X1772072122_B08","1"
"X1772072122_B09","1"
"X1772072122_B10","3"
"X1772072122_B11","1"
"X1772072122_B12","1"
"X1772072122_C01","1"
"X1772072122_C02","1"
"X1772072122_C03","1"
"X1772072122_C05","1"
"X1772072122_C07","3"
"X1772072122_C08","4"
"X1772072122_C09","4"
"X1772072122_C10","3"
"X1772072122_C11","4"
"X1772072122_C12","1"
"X1772072122_D01","1"
"X1772072122_D04","4"
"X1772072122_D05","1"
"X1772072122_D06","4"
"X1772072122_D07","1"
"X1772072122_D08","1"
"X1772072122_D09","4"
"X1772072122_D10","1"
"X1772072122_D11","3"
"X1772072122_E01","3"
"X1772072122_E02","1"
"X1772072122_E03","3"
"X1772072122_E04","4"
"X1772072122_E05","3"
"X1772072122_E06","4"
"X1772072122_E07","1"
"X1772072122_E08","1"
"X1772072122_E09","3"
"X1772072122_E10","1"
"X1772072122_E12","1"
"X1772072122_F01","1"
"X1772072122_F02","4"
"X1772072122_F03","3"
"X1772072122_F04","3"
"X1772072122_F05","3"
"X1772072122_F06","3"
"X1772072122_F07","1"
"X1772072122_F08","1"
"X1772072122_F09","1"
"X1772072122_F10","4"
"X1772072122_F11","4"
"X1772072122_F12","3"
"X1772072122_G01","1"
"X1772072122_G02","1"
"X1772072122_G04","4"
"X1772072122_G05","3"
"X1772072122_G06","1"
"X1772072122_G07","3"
"X1772072122_G08","3"
"X1772072122_G09","4"
"X1772072122_G10","1"
"X1772072122_G12","1"
"X1772072122_H02","1"
"X1772072122_H04","4"
"X1772072122_H05","3"
"X1772072122_H06","4"
"X1772072122_H08","1"
"X1772072122_H09","4"
"X1772072122_H10","1"
"X1772072122_H11","4"
"X1772072122_H12","3"
"X1772082029_A02","3"
"X1772082029_A03","3"
"X1772082029_A04","1"
"X1772082029_A05","3"
"X1772082029_A06","1"
"X1772082029_A08","3"
"X1772082029_A09","4"
"X1772082029_A11","1"
"X1772082029_B02","4"
"X1772082029_B03","1"
"X1772082029_B04","4"
"X1772082029_B05","1"
"X1772082029_B06","1"
"X1772082029_B07","3"
"X1772082029_B08","1"
"X1772082029_B09","3"
"X1772082029_B10","1"
"X1772082029_B11","1"
"X1772082029_B12","1"
"X1772082029_C01","1"
"X1772082029_C02","1"
"X1772082029_C03","3"
"X1772082029_C04","1"
"X1772082029_C05","3"
"X1772082029_C06","1"
"X1772082029_C07","1"
"X1772082029_C09","4"
"X1772082029_C10","1"
"X1772082029_C11","4"
"X1772082029_C12","3"
"X1772082029_D01","1"
"X1772082029_D02","3"
"X1772082029_D03","1"
"X1772082029_D05","1"
"X1772082029_D06","4"
"X1772082029_D07","3"
"X1772082029_D08","1"
"X1772082029_D09","2"
"X1772082029_D10","1"
"X1772082029_D11","3"
"X1772082029_D12","3"
"X1772082029_E01","3"
"X1772082029_E02","1"
"X1772082029_E03","1"
"X1772082029_E04","3"
"X1772082029_E05","4"
"X1772082029_E06","4"
"X1772082029_E07","3"
"X1772082029_E09","1"
"X1772082029_E10","1"
"X1772082029_E12","1"
"X1772082029_F01","3"
"X1772082029_F02","3"
"X1772082029_F03","3"
"X1772082029_F04","3"
"X1772082029_F05","3"
"X1772082029_F06","1"
"X1772082029_F07","3"
"X1772082029_F10","1"
"X1772082029_F11","4"
"X1772082029_G01","1"
"X1772082029_G02","1"
"X1772082029_G03","3"
"X1772082029_G04","4"
"X1772082029_G05","1"
"X1772082029_G06","3"
"X1772082029_G09","1"
"X1772082029_G10","3"
"X1772082029_G11","3"
"X1772082029_G12","1"
"X1772082029_H02","3"
"X1772082029_H03","1"
"X1772082029_H04","4"
"X1772082029_H05","1"
"X1772082029_H06","1"
"X1772082029_H07","1"
"X1772082029_H08","3"
"X1772082029_H10","1"
"X1772082029_H11","4"
"X1772082029_H12","1"
"X1772084018_C07","2"
"X1772084018_D12","5"
"X1772092002_A07","5"
"X1772092002_A10","2"
"X1772092002_B05","2"
"X1772092002_B10","5"
"X1772092002_D10","2"
"X1772092002_E07","5"
"X1772092002_E10","5"
"X1772092002_G05","2"
"X1772092002_G07","5"
"X1772092277_A10","2"
"X1772094135_F02","5"
"X1772094143_D09","5"
"X1772094143_E08","5"
"X1772096086_H03","5"
"X1772096088_F01","3"
"X1772096091_A02","3"
"X1772096092_A02","2"
"X1772096092_A10","3"
"X1772096092_D08","5"
"X1772096093_A11","3"
"X1772096093_B05","5"
"X1772096093_B10","5"
"X1772096093_C10","5"
"X1772096094_A10","2"
"X1772096094_D01","5"
"X1772096094_D02","5"
"X1772096094_D09","5"
"X1772096116_G04","2"
"X1772096118_F09","3"
"X1772096146_D02","3"
"X1772096146_D08","5"
"X1772096146_F07","5"
"X1772096149_F01","3"
"X1772096149_F12","3"
"X1772096150_B08","3"
"X1772096150_C08","2"
"X1772096150_G01","5"
"X1772096150_H03","2"
"X1772096150_H04","2"
"X1772096151_C04","2"
"X1772096151_D03","2"
"X1772096151_D11","5"
"X1772096151_E01","3"
"X1772096151_H03","4"
"X1772096151_H08","3"
"X1772096151_H09","2"
"X1772099002_A12","2"
"X1772099002_C02","5"
"X1772099002_C05","5"
"X1772099002_D02","5"
"X1772099002_E02","2"
"X1772099002_E08","2"
"X1772099002_F11","3"
"X1772099002_G09","3"
"X1772099002_H04","2"
"X1772099003_A05","2"
"X1772099003_F09","4"
"X1772099003_H07","2"
"X1772099008_A08","2"
"X1772099008_G08","2"
"X1772099008_H01","2"
"X1772099009_E05","3"
"X1772099011_D01","2"
"X1772099011_F04","3"
"X1772099011_G07","2"
"X1772099011_H05","3"
"X1772099012_E04","5"
