"","x"
"GSM2631429","5"
"GSM2631430","5"
"GSM2631431","5"
"GSM2631432","5"
"GSM2631433","5"
"GSM2631434","5"
"GSM2631435","5"
"GSM2631436","5"
"GSM2631438","5"
"GSM2631439","5"
"GSM2631440","5"
"GSM2631441","5"
"GSM2631442","5"
"GSM2631443","5"
"GSM2631444","5"
"GSM2631445","5"
"GSM2631446","5"
"GSM2631447","5"
"GSM2631448","5"
"GSM2631449","5"
"GSM2631450","5"
"GSM2631451","5"
"GSM2631452","5"
"GSM2631453","5"
"GSM2631454","5"
"GSM2631455","5"
"GSM2631456","5"
"GSM2631457","5"
"GSM2631458","5"
"GSM2631459","5"
"GSM2631460","5"
"GSM2631461","5"
"GSM2631462","5"
"GSM2631463","5"
"GSM2631464","5"
"GSM2631465","5"
"GSM2631466","5"
"GSM2631467","5"
"GSM2631468","5"
"GSM2631469","5"
"GSM2631470","5"
"GSM2631471","5"
"GSM2631472","5"
"GSM2631473","5"
"GSM2631474","5"
"GSM2631475","5"
"GSM2631476","5"
"GSM2631477","5"
"GSM2631478","5"
"GSM2631479","5"
"GSM2631480","5"
"GSM2631481","5"
"GSM2631482","5"
"GSM2631483","5"
"GSM2631484","5"
"GSM2631485","5"
"GSM2631486","5"
"GSM2631487","5"
"GSM2631488","5"
"GSM2631489","5"
"GSM2631490","5"
"GSM2631491","5"
"GSM2631492","5"
"GSM2631493","5"
"GSM2631494","5"
"GSM2631495","5"
"GSM2631496","5"
"GSM2631498","5"
"GSM2631499","5"
"GSM2631500","5"
"GSM2631501","5"
"GSM2631502","5"
"GSM2631503","5"
"GSM2631504","5"
"GSM2631505","5"
"GSM2631506","5"
"GSM2631507","5"
"GSM2631508","5"
"GSM2631509","5"
"GSM2631510","5"
"GSM2631511","5"
"GSM2631512","5"
"GSM2631513","5"
"GSM2631514","5"
"GSM2631515","5"
"GSM2631516","5"
"GSM2631517","5"
"GSM2631518","5"
"GSM2631519","5"
"GSM2631520","5"
"GSM2631521","5"
"GSM2631522","5"
"GSM2631523","5"
"GSM2631524","5"
