"","x"
"GSM1772084021",0
"GSM1772058147",0
"GSM1772096141.6",0
"GSM1772089187.1",0
"GSM1772096144",0
"GSM1772096102",0
"GSM1772084017",0
"GSM1772075304.37",0
"GSM1772078029.17",0
"GSM1772078029",0
"GSM1772078018.3",0
"GSM1772096126",0
"GSM1772096158",0
"GSM1772096099.1",0
"GSM1772096165.2",0
"GSM1772096162",0
"GSM1772078017",0
"GSM1772096101.1",0
"GSM1772075304.1",0
"GSM1772096175.1",0
"GSM1772096172.1",0
"GSM1772096100.6",0
"GSM1772096126.2",0
"GSM1772096097.4",0
"GSM1772089190",0
"GSM1772084014.2",0
"GSM1772092004.4",0
"GSM1772089186",0
"GSM1772096138.1",0
"GSM1772084021.1",0
"GSM1772078022",0
"GSM1772096096",0
"GSM1772096139.1",0
"GSM1772096173.4",0
"GSM1772096097.2",0
"GSM1772096162.2",0
"GSM1772096132.2",0
"GSM1772096097",0
"GSM1772096141.4",0
"GSM1772096138.7",0
"GSM1772096100.5",0
"GSM1772089196",0
"GSM1772092004.3",0
"GSM1772078030.1",0
"GSM1772089187",0
"GSM1772078030.2",0
"GSM1772092009",0
"GSM1772096165.1",0
"GSM1772078031.39",0
"GSM1772078029.1",0
"GSM1772078018.4",0
"GSM1772096101",0
"GSM1772092009.18",0
"GSM1772092004",0
"GSM1772078016.1",1
"GSM1772078019.2",1
"GSM1772096168.1",1
"GSM1772096162.1",1
"GSM1772096097.13",1
"GSM1772078016",1
"GSM1772096168",1
"GSM1772084014",1
"GSM1772078030",1
"GSM1772096135",2
"GSM1772096173",2
"GSM1772089190.28",2
"GSM1772075304",2
"GSM1772078019.1",2
"GSM1772092008",2
"GSM1772092004.2",2
"GSM1772078019",2
"GSM1772096138",2
"GSM1772078018",2
"GSM1772096132.24",2
"GSM1772089196.14",2
"GSM1772092004.1",2
"GSM1772092008.1",2
"GSM1772096165",2
"GSM1772089188",2
"GSM1772084021.32",2
"GSM1772078018.1",2
"GSM1772096144.1",2
"GSM1772092013",2
"GSM1772078018.53",2
"GSM1772078013.1",2
"GSM1772096099",2
"GSM1772078028",2
"GSM1772078029.4",2
"GSM1772078013",2
"GSM1772096134",2
"GSM1772084017.3",2
"GSM1772092010.13",2
"GSM1772078028.2",2
"GSM1772084017.1",2
"GSM1772096126.13",2
"GSM1772096132",2
"GSM1772096141.1",2
"GSM1772096096.28",2
"GSM1772075310",2
"GSM1772084014.17",2
"GSM1772096100",2
"GSM1772078018.2",2
"GSM1772096165.24",2
"GSM1772096126.1",2
"GSM1772096141",2
"GSM1772089188.1",2
"GSM1772078017.27",2
"GSM1772096168.21",2
"GSM1772096145",2
"GSM1772078016.22",2
"GSM1772096138.12",3
"GSM1772096138.11",3
"GSM1772096100.38",3
"GSM1772096101.9",3
"GSM1772096101.6",3
"GSM1772096138.16",3
"GSM1772096097.3",3
"GSM1772096135.2",3
"GSM1772084014.13",3
"GSM1772096141.18",3
"GSM1772096138.17",3
"GSM1772096099.3",3
"GSM1772096141.28",3
"GSM1772096139.3",3
"GSM1772096132.11",3
"GSM1772096100.18",3
"GSM1772096133.6",3
"GSM1772096141.8",3
"GSM1772096168.3",3
"GSM1772075305.27",3
"GSM1772096136.5",3
"GSM1772096141.27",3
"GSM1772096100.23",3
"GSM1772096138.14",3
"GSM1772096139.9",3
"GSM1772096140.1",3
"GSM1772078029.2",3
"GSM1772096102.18",3
"GSM1772084021.8",3
"GSM1772078031.2",3
"GSM1772096126.4",3
"GSM1772096101.7",3
"GSM1772096100.14",3
"GSM1772096136.1",3
"GSM1772096140.4",3
"GSM1772096136.9",3
"GSM1772096126.3",3
"GSM1772075304.6",3
"GSM1772096138.18",3
"GSM1772096172.4",3
"GSM1772096101.8",3
"GSM1772096171.2",3
"GSM1772096165.10",3
"GSM1772092009.17",3
"GSM1772096144.3",3
"GSM1772084021.5",3
"GSM1772096165.9",3
"GSM1772084020",3
"GSM1772096134.5",3
"GSM1772096136.4",3
"GSM1772084017.6",3
"GSM1772096103.8",3
"GSM1772096134.6",3
"GSM1772096141.23",3
"GSM1772075305.2",3
"GSM1772078016.2",3
"GSM1772075304.7",3
"GSM1772096096.1",3
"GSM1772075305",3
"GSM1772096135.8",3
"GSM1772096135.17",4
"GSM1772096140.12",4
"GSM1772096136.17",4
"GSM1772096097.6",4
"GSM1772096138.15",4
"GSM1772089187.2",4
"GSM1772092008.6",4
"GSM1772096101.5",4
"GSM1772096139.11",4
"GSM1772089194.5",4
"GSM1772096138.10",4
"GSM1772096140.8",4
"GSM1772096102.3",4
"GSM1772096102.5",4
"GSM1772096172.5",4
"GSM1772089194.10",4
"GSM1772084021.9",4
"GSM1772096132.10",4
"GSM1772096135.10",4
"GSM1772096139.8",4
"GSM1772096138.6",4
"GSM1772096135.12",4
"GSM1772078017.34",4
"GSM1772096100.15",4
"GSM1772096135.11",4
"GSM1772084017.2",4
"GSM1772075317.6",4
"GSM1772075305.34",4
"GSM1772075304.5",4
"GSM1772078030.8",4
"GSM1772084017.8",4
"GSM1772075305.3",4
"GSM1772078031.3",4
"GSM1772096173.3",5
"GSM1772089195.6",5
"GSM1772096103.9",5
"GSM1772096136.6",5
"GSM1772096141.26",5
"GSM1772078016.8",5
"GSM1772096165.21",5
"GSM1772075304.8",5
"GSM1772096141.20",5
"GSM1772089194.4",5
"GSM1772075305.32",5
"GSM1772096103.15",5
"GSM1772096103.10",5
"GSM1772075317.5",5
"GSM1772096139.7",5
"GSM1772096136.7",5
"GSM1772096141.24",5
"GSM1772078017.2",5
"GSM1772089186.33",5
"GSM1772096162.6",5
"GSM1772096100.24",5
"GSM1772096133.25",5
"GSM1772096141.19",5
"GSM1772075304.9",5
"GSM1772096162.12",5
"GSM1772084014.3",5
"GSM1772096132.8",5
"GSM1772096141.22",5
"GSM1772096134.16",5
"GSM1772089196.1",5
"GSM1772078030.7",5
"GSM1772078030.6",5
"GSM1772078016.3",5
"GSM1772096126.5",5
"GSM1772078030.10",5
"GSM1772096140.5",5
"GSM1772096168.4",5
"GSM1772092012.1",5
"GSM1772089194.7",5
"GSM1772096102.4",5
"GSM1772084017.9",5
"GSM1772096140.6",5
"GSM1772084014.4",5
"GSM1772078028.4",5
"GSM1772089195.2",5
"GSM1772092009.2",5
"GSM1772078029.3",5
"GSM1772078030.9",5
"GSM1772096103.12",5
"GSM1772096144.4",5
"GSM1772089194.6",5
"GSM1772096133.30",5
"GSM1772092013.2",5
"GSM1772078014.4",5
"GSM1772084017.5",5
"GSM1772089190.3",5
"GSM1772096136.34",5
"GSM1772096103.7",5
"GSM1772096103.1",5
"GSM1772092011",5
"GSM1772096132.9",5
"GSM1772096140.7",5
"GSM1772096135.13",5
"GSM1772096139.12",5
"GSM1772084021.7",5
"GSM1772096175",6
"GSM1772084017.4",6
"GSM1772096172",6
"GSM1772089195.1",6
"GSM1772096099.2",6
"GSM1772078019.3",6
"GSM1772096168.2",6
"GSM1772096141.7",6
"GSM1772084021.2",6
"GSM1772084021.27",6
"GSM1772096135.7",6
"GSM1772096100.1",6
"GSM1772075317",6
"GSM1772096131.23",6
"GSM1772096135.5",6
"GSM1772096136",6
"GSM1772096138.13",6
"GSM1772078017.1",6
"GSM1772096135.16",6
"GSM1772096134.1",6
"GSM1772096100.7",6
"GSM1772096139",6
"GSM1772078031",6
"GSM1772078016.25",6
"GSM1772078014",6
"GSM1772096136.36",6
"GSM1772096141.36",6
"GSM1772078013.2",6
"GSM1772096171.1",6
"GSM1772078028.3",6
"GSM1772075304.2",6
"GSM1772089186.1",6
"GSM1772089190.1",6
"GSM1772096141.5",6
"GSM1772096132.3",6
"GSM1772096135.6",6
"GSM1772084014.1",6
"GSM1772078031.1",6
"GSM1772078018.32",6
"GSM1772096140",6
"GSM1772096133",6
"GSM1772075317.45",6
"GSM1772096103.3",6
"GSM1772096135.1",6
"GSM1772096100.4",6
"GSM1772096134.2",6
"GSM1772096128",6
"GSM1772096138.2",6
"GSM1772096171",6
"GSM1772096133.4",6
"GSM1772096141.2",6
"GSM1772096165.3",6
"GSM1772096103",6
"GSM1772096097.1",6
"GSM1772096165.6",6
"GSM1772096101.4",6
"GSM1772096097.19",6
"GSM1772096141.14",6
"GSM1772096132.37",6
"GSM1772096165.4",6
"GSM1772096141.3",6
"GSM1772096135.4",6
"GSM1772096138.8",6
"GSM1772096165.8",6
"GSM1772096133.3",6
"GSM1772096103.5",6
"GSM1772096102.2",6
"GSM1772096101.2",6
"GSM1772096141.17",6
"GSM1772096100.9",6
"GSM1772096132.39",6
"GSM1772089186.3",6
"GSM1772096140.3",6
"GSM1772096141.16",6
"GSM1772096102.1",6
"GSM1772078030.5",6
"GSM1772096134.4",6
"GSM1772096138.9",6
"GSM1772075317.4",6
"GSM1772096133.5",6
"GSM1772075317.3",6
"GSM1772096162.4",6
"GSM1772096134.18",6
"GSM1772096144.2",6
"GSM1772075304.4",6
"GSM1772096141.11",6
"GSM1772096099.28",6
"GSM1772096165.7",6
"GSM1772096173.2",6
"GSM1772075317.1",6
"GSM1772096132.4",6
"GSM1772096103.4",6
"GSM1772096139.2",6
"GSM1772096172.6",6
"GSM1772096141.13",6
"GSM1772096141.15",6
"GSM1772096135.9",6
"GSM1772096172.2",6
"GSM1772096132.7",6
"GSM1772084017.7",6
"GSM1772096141.10",6
"GSM1772096173.1",6
"GSM1772096101.3",6
"GSM1772096165.5",6
"GSM1772096135.3",6
"GSM1772096133.7",6
"GSM1772078030.4",6
"GSM1772092009.1",6
"GSM1772096103.2",6
"GSM1772078019.5",6
"GSM1772096136.3",6
"GSM1772096141.9",6
"GSM1772096132.5",6
"GSM1772078014.1",6
"GSM1772084021.16",6
"GSM1772089194.3",6
"GSM1772096100.8",6
"GSM1772096100.10",6
"GSM1772089190.2",6
"GSM1772096126.22",6
"GSM1772078031.10",6
"GSM1772078030.3",6
"GSM1772092004.5",6
"GSM1772089194.2",6
"GSM1772089186.2",6
"GSM1772092012",6
"GSM1772075304.3",6
"GSM1772096132.1",6
"GSM1772096172.3",6
"GSM1772096097.5",6
"GSM1772096141.12",6
"GSM1772078022.1",6
"GSM1772089194.1",6
"GSM1772096173.5",6
"GSM1772096100.12",6
"GSM1772096132.6",6
"GSM1772096103.6",6
"GSM1772084021.3",6
"GSM1772096162.5",6
"GSM1772084021.4",6
"GSM1772096100.11",6
"GSM1772096100.13",6
"GSM1772089195",6
"GSM1772096133.1",6
"GSM1772096136.2",6
"GSM1772096099.16",7
"GSM1772096132.16",7
"GSM1772096135.21",7
"GSM1772096102.9",7
