"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Pmch","Pmch",13.0771662094881,0.998234380729679,0.972403395088438,2.37882945363154e-29
"Hcrt","Hcrt",11.8769389498774,0.997680199491236,0.881891981125553,2.35938472414239e-24
"Sst","Sst",11.1517142437464,0.987334118167394,0.817190187460948,4.38531625369467e-21
"Oxt","Oxt",10.9759195995473,0.983544840650281,0.800225072123707,2.86762373021912e-20
"Avp","Avp",10.7524642786239,0.986282773717021,0.786214991723117,1.31204668536237e-19
"Hbb-bs","Hbb-bs",9.63317688532919,0.997527579555496,0.713569021279102,2.25636522652243e-16
"Gnrh1","Gnrh1",9.52571654819596,0.999044997391195,0.707032268974325,4.25610967316589e-16
"Hba-a2-loc1","Hba-a2-loc1",9.57383650512904,0.993356977987953,0.70495084834632,5.20274307064924e-16
"Hba-a2-loc2","Hba-a2-loc2",9.53546979681393,0.992952887413017,0.701671166602182,7.13077754766111e-16
"Npvf","Npvf",9.29255170935797,0.998441728514362,0.688953256647614,2.38741999620204e-15
"Cartpt","Cartpt",9.34007262383112,0.977537878042443,0.671611106618932,1.19653786224044e-14
"Trh","Trh",8.64421681845824,0.984967646162595,0.628094114005788,5.69157281776243e-13
"Gal","Gal",8.65499397296372,0.969406850169415,0.613316739385354,1.99101272919282e-12
"Hbb-b2","Hbb-b2",8.22448410023199,0.999689742098119,0.612210837010757,2.18398502797911e-12
"Npy","Npy",8.33136485049545,0.988930502206288,0.609263329345587,2.79235987271449e-12
"Agrp","Agrp",7.88325423134128,0.995583463305368,0.583002666509864,2.36557500407125e-11
"Igf2","Igf2",7.94895120044142,0.986709694121218,0.578987363820566,3.25239061558687e-11
"Tac1","Tac1",8.08799314636232,0.963438377162423,0.56595056046576,9.00545216707547e-11
"Crh","Crh",7.72178276845979,0.989734753284359,0.565199096894579,9.54316339477245e-11
"Plp1","Plp1",11.4909010042586,0.705763461736214,0.561041635142241,1.3135036292127e-10
"Apod","Apod",9.26467716571625,0.870900327944158,0.55932265439549,1.49794251560112e-10
"Pomc","Pomc",7.63734941083314,0.98182297716649,0.551003710251528,2.81301275641644e-10
"Ptgds","Ptgds",8.91916128397349,0.883499960560161,0.54657881590709,3.91801790261066e-10
"Dcn","Dcn",7.25833047261243,0.993320211239244,0.534042481123601,9.87248737283171e-10
"Tac2","Tac2",7.22013644739608,0.990933183970735,0.528760445274323,1.44791189982106e-09
"Itm2a","Itm2a",7.78855521492886,0.936063083179563,0.516471057125812,3.47773135703795e-09
"Vip","Vip",6.97842446544086,0.99537767303598,0.514771692418031,3.91935194321271e-09
