"","cell.ID","cluster.ID"
"1","GSM1772058147","Cluster_1"
"2","GSM1772096158","Cluster_1"
"3","GSM1772096144","Cluster_2"
"4","GSM1772092004","Cluster_1"
"5","GSM1772092004.1","Cluster_2"
"6","GSM1772096173","Cluster_2"
"7","GSM1772092004.2","Cluster_1"
"8","GSM1772078030","Cluster_1"
"9","GSM1772092004.3","Cluster_1"
"10","GSM1772092009","Cluster_2"
"11","GSM1772078019","Cluster_2"
"12","GSM1772089187","Cluster_1"
"13","GSM1772078018","Cluster_2"
"14","GSM1772089188","Cluster_2"
"15","GSM1772089187.1","Cluster_1"
"16","GSM1772089188.1","Cluster_2"
"17","GSM1772096099","Cluster_2"
"18","GSM1772096162","Cluster_2"
"19","GSM1772096135","Cluster_1"
"20","GSM1772096102","Cluster_1"
"21","GSM1772096165","Cluster_2"
"22","GSM1772096165.1","Cluster_2"
"23","GSM1772096138","Cluster_1"
"24","GSM1772092013","Cluster_1"
"25","GSM1772096101","Cluster_1"
"26","GSM1772084021","Cluster_1"
"27","GSM1772078028","Cluster_1"
"28","GSM1772084017","Cluster_1"
"29","GSM1772096141","Cluster_2"
"30","GSM1772078017","Cluster_1"
"31","GSM1772075304","Cluster_1"
"32","GSM1772078018.1","Cluster_2"
"33","GSM1772092008","Cluster_1"
"34","GSM1772078030.1","Cluster_1"
"35","GSM1772096144.1","Cluster_1"
"36","GSM1772078019.1","Cluster_1"
"37","GSM1772078030.2","Cluster_1"
"38","GSM1772096162.1","Cluster_2"
"39","GSM1772096168","Cluster_1"
"40","GSM1772078018.2","Cluster_1"
"41","GSM1772078018.3","Cluster_1"
"42","GSM1772078016","Cluster_1"
"43","GSM1772078013","Cluster_1"
"44","GSM1772078013.1","Cluster_1"
"45","GSM1772096145","Cluster_1"
"46","GSM1772096126","Cluster_1"
"47","GSM1772096168.1","Cluster_1"
"48","GSM1772078013.2","Cluster_1"
"49","GSM1772092008.1","Cluster_1"
"50","GSM1772096097","Cluster_1"
"51","GSM1772078019.2","Cluster_1"
"52","GSM1772078018.4","Cluster_1"
"53","GSM1772078022","Cluster_1"
"54","GSM1772089196","Cluster_1"
"55","GSM1772075310","Cluster_1"
"56","GSM1772096162.2","Cluster_1"
"57","GSM1772078014","Cluster_1"
"58","GSM1772096139","Cluster_1"
"59","GSM1772078016.1","Cluster_1"
"60","GSM1772089186","Cluster_1"
"61","GSM1772096126.1","Cluster_1"
