"dim1","dim2"
"GSM1772058147",0.94910640105976,-14.4941782326617
"GSM1772096158",0.16668029927513,-12.3400022126762
"GSM1772096144",-13.8298335890406,3.38824283104563
"GSM1772092004",-0.184398940550762,-11.7816186361847
"GSM1772092004.1",-13.5924258555929,3.23970610381716
"GSM1772096173",-14.6610257945114,5.76639978405031
"GSM1772092004.2",-0.186280615469714,-11.783698941112
"GSM1772078030",-0.186280615469714,-11.783698941112
"GSM1772092004.3",-0.184878353929933,-11.7830281205858
"GSM1772092009",-15.3529630644376,3.70234736934393
"GSM1772078019",-12.374842333532,2.6196271112668
"GSM1772089187",-0.184878353929933,-11.7830281205858
"GSM1772078018",-13.5876322194438,4.96552104626296
"GSM1772089188",-15.9932262813561,5.68380029051922
"GSM1772089187.1",-0.184432210739695,-11.7818020342534
"GSM1772089188.1",-14.817013114429,3.14338634960726
"GSM1772096099",-15.9934724002331,5.68176921962142
"GSM1772096162",-13.9923289264044,4.9944436168417
"GSM1772096135",10.2925828142706,5.05855986955584
"GSM1772096102",8.49257320036915,4.02846414347763
"GSM1772096165",-14.3060133333487,4.21518641456884
"GSM1772096165.1",-15.4459366429397,4.46379272559332
"GSM1772096138",-0.184385774133351,-11.7818092760587
"GSM1772092013",-0.184385774133351,-11.7818092760587
"GSM1772096101",-0.184385774133351,-11.7818092760587
"GSM1772084021",-0.184385774133351,-11.7818092760587
"GSM1772078028",-0.184385774133351,-11.7818092760587
"GSM1772084017",1.11926353724735,-11.414926913046
"GSM1772096141",-13.2390165554698,6.98427250110502
"GSM1772078017",10.7911494853079,4.00789964308626
"GSM1772075304",2.21106895387555,-10.5553390178586
"GSM1772078018.1",-11.2621590934523,4.09468876264049
"GSM1772092008",-1.50133186785962,-9.32656438892442
"GSM1772078030.1",-0.162059403020667,-14.6708356001414
"GSM1772096144.1",-3.02340535834484,-10.6207398395606
"GSM1772078019.1",-0.661699061089961,-13.6360204058034
"GSM1772078030.2",-0.191469790724699,-13.6230564107591
"GSM1772096162.1",-14.0843379224692,2.88952438879636
"GSM1772096168",10.2111614521396,6.24461192461937
"GSM1772078018.2",7.17210709450755,6.59618709517547
"GSM1772078018.3",0.179689947081235,-11.2440153823423
"GSM1772078016",10.2012649233829,6.20977464752677
"GSM1772078013",1.83430548073456,-10.0688264550645
"GSM1772078013.1",7.17210709450755,6.59618709517547
"GSM1772096145",-2.28418231430133,-12.4355154511833
"GSM1772096126",0.112198694961138,-14.6385962970768
"GSM1772096168.1",9.738769121705,8.13973410516058
"GSM1772078013.2",11.3725690707207,0.57759537476777
"GSM1772092008.1",0.409557258052024,-10.7809340148586
"GSM1772096097",0.966086434656187,-11.6064823890157
"GSM1772078019.2",8.33611807590789,5.36810167390036
"GSM1772078018.4",-0.300394377434247,-13.4333313374921
"GSM1772078022",-1.85485845541595,-12.4643478402465
"GSM1772089196",1.88640393123654,-11.5217296052317
"GSM1772075310",-2.31475761427692,-10.5862280960623
"GSM1772096162.2",0.449685025453346,-9.04749802076873
"GSM1772078014",1.6052507828171,-12.9787590227919
"GSM1772096139",-1.43216786296558,-12.8367753022827
"GSM1772078016.1",8.73962747996532,3.67407899303394
"GSM1772089186",0.0612291999394786,-10.4557707547608
"GSM1772096126.1",-0.482554487789101,-12.1572204329655
"GSM1772096096",-14.9470146565331,4.77028616924708
"GSM1772096099.1",1.44735538587175,-10.8815814465238
"GSM1772096101.1",2.03139055392043,-12.4928071613097
"GSM1772096132",10.1658476750133,7.17499098275534
"GSM1772096134",10.2911731047362,5.04813686405368
"GSM1772096141.1",-14.1043285399477,2.89574398592449
"GSM1772084014",-13.2888777952729,4.51424993217659
"GSM1772084017.1",-0.797279916724752,-11.6413588280322
"GSM1772096097.1",-3.19723290681038,-11.9493736350945
"GSM1772096097.2",-1.17500414269842,-11.6353351490587
"GSM1772096138.1",11.7669279125678,3.74706065475064
"GSM1772096139.1",0.445002730084349,-11.7217253003155
"GSM1772096140",-0.797279916724752,-11.6413588280322
"GSM1772096141.2",-1.50133186785962,-9.32656438892442
"GSM1772096175",2.30396279293353,-10.3490404047177
"GSM1772078028.1",8.58545635132416,7.13962793695956
"GSM1772089194",10.3309999478001,7.15178392593481
"GSM1772096099.2",-1.33314182498971,-13.0978012346965
"GSM1772096100",9.98809704402001,4.76416361200102
"GSM1772096100.1",-1.43796697365258,-12.3866593624307
"GSM1772096132.1",2.72668562841202,-12.8187665289252
"GSM1772096133",1.18048521580772,-14.346776141259
"GSM1772096134.1",0.44383202233679,-11.711138073369
"GSM1772096138.2",-12.6032166509265,3.99748375044274
"GSM1772096162.3",7.72450849293096,5.31948396004812
"GSM1772096172",-2.00918428499425,-13.2954780578102
"GSM1772096173.1",-3.016241477485,-10.5889038843186
"GSM1772084014.1",-15.556911823272,5.26283580588097
"GSM1772084021.1",-13.8386113836447,4.43479297582594
"GSM1772075304.1",8.82981266327665,5.01564271398677
"GSM1772078028.2",10.2111614521396,6.24461192461937
"GSM1772078031",7.14644801800968,6.73271388961649
"GSM1772089190",0.966086434656176,-11.6064823890157
"GSM1772092004.4",1.31453519118669,-13.7454323312634
"GSM1772096103",-0.109197248168472,-12.2215543448134
"GSM1772096135.1",-0.735972985131412,-13.3252598285234
"GSM1772096133.1",-0.184941257905978,-11.7830686461177
"GSM1772096134.2",-0.186000875454618,-11.7836578822705
