"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Ubb","Ubb",8.30423722501714,0.293441393639744,-0.660762498258043,6.54823232556294e-21
"Ptma","Ptma",6.88386515450979,0.438297622950731,-0.542952793792272,6.71042154927564e-15
"H3f3a","H3f3a",6.34163000932991,0.445241624411384,-0.540712474508824,8.51824412595355e-15
"Cfl1","Cfl1",9.83304819573838,0.347344419546555,-0.539243906342708,9.95509828859606e-15
"Gapdh","Gapdh",6.79571500650173,0.45584997777969,-0.526478811793459,3.79537519303945e-14
"Mir6236","Mir6236",8.78496195020486,0.425664728181584,-0.511065945822097,1.83563442055623e-13
"Chchd2","Chchd2",8.76520320665317,0.435635568739063,-0.501898041264458,4.59223602647854e-13
"Rpl18","Rpl18",6.8592241619782,0.485823531277007,-0.495744235127292,8.4255536710241e-13
"Rpl18a","Rpl18a",8.20506011054465,0.461633973772168,-0.495718075590602,8.44719434946465e-13
"Ptgds","Ptgds",16.9282303534157,0.983228084723835,0.539364973521388,8.97474074292114e-13
"Rpl13","Rpl13",6.50937914891469,0.503066587528924,-0.481843785985623,3.23541151884947e-12
"Ddx5","Ddx5",11.5196853901209,0.313690599142274,-0.480789735342803,3.57778715051918e-12
"Srsf5","Srsf5",9.28563340146684,0.440572807437193,-0.473320261895806,7.25548878092135e-12
"Rplp2","Rplp2",7.21042783040149,0.503841639710899,-0.473007215926534,7.4720345298448e-12
"Cox6a1","Cox6a1",9.30628958533607,0.444353516965339,-0.46856104852476,1.13241220357749e-11
"Hspa8","Hspa8",9.29714555193039,0.445986319113,-0.467361145975823,1.26609572373413e-11
"Rplp1","Rplp1",8.77181956789831,0.47251692727229,-0.464749156598186,1.61274864848092e-11
"Tpt1","Tpt1",6.15177765473205,0.523089008296241,-0.463825216621326,1.75636454343209e-11
"Eef1a1","Eef1a1",10.8758261293153,0.369253471004222,-0.461877239706898,2.1013731137484e-11
"Gm13826","Gm13826",6.78267065867701,0.530391784297244,-0.452083618078706,5.12331397311618e-11
"Ftl1","Ftl1",10.3499446385659,0.407705513844223,-0.451349814228945,5.47325988367307e-11
"Gng5","Gng5",7.42710328715284,0.526688740838188,-0.44751499789937,7.71815089644425e-11
"Atp5h","Atp5h",7.87098112422465,0.519990535074082,-0.44674291242042,8.26847974847765e-11
"Rps4x","Rps4x",7.89542381038297,0.520762714694497,-0.445398357493359,9.31975612306419e-11
"Rpl14-ps1","Rpl14-ps1",8.60399717008549,0.502231011518308,-0.441544125713063,1.3110334735621e-10
"Gpx4","Gpx4",8.45162325154114,0.508615037950783,-0.440641420631787,1.41956944233209e-10
"Rps24","Rps24",8.11945993445933,0.519726458140252,-0.44023387795019,1.47139942256107e-10
"Rps2","Rps2",7.30469355747101,0.538450201129722,-0.437261187188424,1.90956025237352e-10
"Rps19","Rps19",7.30469355747101,0.539116714685778,-0.436594673632368,2.02404024474071e-10
"Rps3a1","Rps3a1",8.12979817318714,0.523577212022065,-0.436073257827301,2.11824341489065e-10
"Rpl7","Rpl7",9.1009251010569,0.489988263229282,-0.432663950778466,2.84857653636831e-10
"Tuba1b","Tuba1b",7.98925256516599,0.531125713496712,-0.432617693550923,2.86000723487838e-10
"Actb","Actb",12.473477457026,0.30551106726566,-0.430649626412101,3.39007095785666e-10
"Atp5j","Atp5j",9.82511779405836,0.456665879640052,-0.430324445838964,3.48642343570379e-10
"Rhoa","Rhoa",9.80751592814458,0.459324863036674,-0.428562594274447,4.05677029860975e-10
"Eif1","Eif1",9.16515824538391,0.493378497770671,-0.426238280643765,4.95008698089098e-10
"Rps9","Rps9",9.07975143109509,0.497544129835352,-0.426101940935148,5.0080605160786e-10
"Sod1","Sod1",9.91901226832074,0.457169505604341,-0.425119613645146,5.44577956830418e-10
"Rpl3","Rpl3",6.97842446544086,0.555913366249773,-0.423998204485246,5.99114623865917e-10
"Rpl14","Rpl14",7.82718389581953,0.544844053558845,-0.422860615970881,6.59867257828589e-10
"Cox6c","Cox6c",9.38607803400871,0.489187888833492,-0.419975146059073,8.42163115847358e-10
"Rps26","Rps26",7.91348784071516,0.547212075834292,-0.418511335606854,9.52552924996077e-10
"Cox4i1","Cox4i1",10.4378560840782,0.436014131159495,-0.418505078062742,9.53053818902039e-10
"Rpl6","Rpl6",6.67383905599044,0.565531211938842,-0.418049677860788,9.90204169618586e-10
"Rpl35a","Rpl35a",7.01234519041983,0.563895387269214,-0.415524753848458,1.22322480149582e-09
"Rpl32","Rpl32",8.20994068029019,0.541856662131656,-0.415343697838431,1.24184792942068e-09
"Hnrnpk","Hnrnpk",9.26936048435873,0.499446986450626,-0.415218253344838,1.25491259074958e-09
"Pfn1","Pfn1",9.67436884180001,0.480141906495285,-0.414663397629537,1.31432252267922e-09
"Rps15","Rps15",8.98612646417927,0.513738921352701,-0.414239682229198,1.36152678117812e-09
"Rps14","Rps14",9.53157640613392,0.488038570052451,-0.41413107708785,1.37388937303409e-09
"Plp1","Plp1",15.8829797089672,0.969056221873714,0.458235253119371,1.392404004082e-09
"Rps25","Rps25",6.39403389536778,0.571744149215176,-0.413910168512032,1.39937376569549e-09
"Btf3","Btf3",7.85237344958027,0.553681159095637,-0.413473241477598,1.45114113151312e-09
"Gnas","Gnas",11.675560149035,0.373657969133737,-0.411590181135889,1.69640108719439e-09
"Prdx1","Prdx1",9.9040324323488,0.471714577303597,-0.411331426914701,1.7331088274333e-09
"Rpl39","Rpl39",7.06716542701711,0.567973360637666,-0.410691353544535,1.82726553095494e-09
"Cox8a","Cox8a",9.47998230800967,0.495961772982473,-0.408765974471293,2.1415095478644e-09
"Rps18","Rps18",6.34163000932991,0.579640544579113,-0.406313554341095,2.61867355127896e-09
"Uqcrb","Uqcrb",7.75555526197214,0.563937242120724,-0.40521732520854,2.86403822463143e-09
"Rpl13a","Rpl13a",9.78806575095779,0.485902311667058,-0.402983424810331,3.4351974886412e-09
"Rpl41","Rpl41",7.02347715183043,0.577336113986674,-0.401926976511486,3.74250721979102e-09
"Cox5b","Cox5b",7.79506558265962,0.567797253074317,-0.400577814765002,4.17403580821221e-09
"Rpl7a","Rpl7a",6.83415498140132,0.585536841933932,-0.396340905795499,5.86760431168021e-09
"Ndufa7","Ndufa7",8.9718309147805,0.534620769274111,-0.394008177924447,7.06791147330959e-09
"Actg1","Actg1",6.95535930524299,0.587789866747686,-0.392464982254466,7.98966863770052e-09
"Rps10","Rps10",5.97956810009519,0.595396530892902,-0.392334082973325,8.07301889847307e-09
"Myl12a","Myl12a",10.0581270536575,0.482978812775833,-0.391949196820453,8.32301738734206e-09
"Rpl8","Rpl8",10.0015489382631,0.486868435090629,-0.391113366485673,8.89208530051665e-09
"Rps21","Rps21",7.45203527354619,0.58422091368633,-0.389662357460264,9.97094748139521e-09
"Cox6b1","Cox6b1",9.7075316929376,0.503892083256915,-0.389179007651787,1.03577725008802e-08
"Zfp36l1","Zfp36l1",9.3968188150137,0.523397172140004,-0.3852654976257,1.40743412349079e-08
"Tceb2","Tceb2",8.10904707770071,0.579142341333149,-0.381128700755538,1.94035363007022e-08
"Ubc","Ubc",11.4025324662081,0.420463697469027,-0.380868259798465,1.97977358832087e-08
"Rps20","Rps20",8.24365004189697,0.578378394246787,-0.377765252974666,2.51347530188374e-08
"Ppib","Ppib",9.26467716571625,0.540944263045584,-0.373943372731069,3.36442680704431e-08
"Rpl37a","Rpl37a",6.93191939010004,0.606731654327229,-0.373862225969023,3.38522422371778e-08
"Dynll1","Dynll1",9.74500197397673,0.517644865139994,-0.373471214971178,3.48719634229796e-08
"Sepw1","Sepw1",10.9256286125191,0.455847665319194,-0.372540091177696,3.74214803012072e-08
"Tmbim6","Tmbim6",10.8750581664308,0.458881201739058,-0.37229167757215,3.8131607871766e-08
"Rps11","Rps11",9.50997289130906,0.531428296532558,-0.371822003542902,3.95100723028042e-08
"Hbb-b2+Hbb-bt","Hbb-b2+Hbb-bt",14.784230973456,0.998366667775893,0.41454980964596,4.43675919612067e-08
"Rplp0","Rplp0",9.82829518779043,0.51700646732672,-0.369822620684091,4.59376006620952e-08
"Hnrnpa2b1","Hnrnpa2b1",10.3242930769445,0.491244002053249,-0.369155169278042,4.8300452035516e-08
"Dcn","Dcn",14.939124627654,0.986140578421128,0.412684046512188,5.1043062880685e-08
"Rac1","Rac1",10.5518043740114,0.480985693834306,-0.367579350568827,5.43551977577485e-08
"Cox7a2","Cox7a2",9.30628958533607,0.546223155774267,-0.366691409715833,5.80839599838037e-08
"Uqcr11","Uqcr11",8.42668408184962,0.584840169990747,-0.365277100359612,6.45394759347572e-08
"Rpl37","Rpl37",6.87159726561385,0.616173291806661,-0.365236716999588,6.4733636224678e-08
"Gm12060","Gm12060",6.61618123133188,0.619103927830201,-0.364985182548732,6.59557783395506e-08
"Cd74","Cd74",14.6968099944555,0.998479906739843,0.408815747339281,6.81196500872796e-08
"Itm2b","Itm2b",13.2025983165303,0.324864385699773,-0.36432976427845,6.92460696330785e-08
"Rps16","Rps16",5.73063995591679,0.626722740308774,-0.36238436481158,7.99744488823188e-08
"Atp5j2","Atp5j2",8.09328550387792,0.598888483612625,-0.36185021985095,8.31908135255939e-08
"Selk","Selk",9.6386169183243,0.536526677395298,-0.360145286204746,9.43157897017864e-08
"Rps7","Rps7",6.65963918701565,0.62447245647233,-0.359238234740552,1.00807168032634e-07
"Pkm","Pkm",10.25750570512,0.50594637773105,-0.35803144975821,1.10116132402424e-07
"Rabac1","Rabac1",10.6394311569166,0.486224677041439,-0.357697704553654,1.12833863283027e-07
"Hmgb1","Hmgb1",7.91348784071516,0.610298610744361,-0.355424800696786,1.33143127913636e-07
"Rpl4","Rpl4",11.0881919605349,0.466477503326389,-0.352845033791892,1.60477148438771e-07
"Cnbp","Cnbp",11.3089646691254,0.454459269980814,-0.352289062305243,1.67040559366228e-07
"Arf1","Arf1",10.0902447709364,0.52106567816781,-0.352105361281706,1.6926560833474e-07
"Arhgdia","Arhgdia",10.2253279578108,0.514015739217451,-0.351716679362308,1.74068154313755e-07
"Shfm1","Shfm1",9.27635707925924,0.562799185842151,-0.351533937844562,1.7637130738041e-07
"Ndufa3","Ndufa3",8.651410525913,0.5908856959043,-0.351102731519747,1.8192313218956e-07
"Myl6","Myl6",9.91752126463192,0.531376687879962,-0.350988155214993,1.83426445902782e-07
"Gnb1","Gnb1",10.7254514706797,0.488422928311202,-0.350889174312233,1.84734784479273e-07
"Ifitm2","Ifitm2",9.47796059377623,0.555310426002484,-0.349515873379105,2.03843193683368e-07
"Ap2m1","Ap2m1",8.09328550387792,0.611397563404518,-0.349341140059057,2.06407121913606e-07
