"","cell.ID","cluster.ID"
"1","GSM2631429","Cluster_1"
"2","GSM2631430","Cluster_1"
"3","GSM2631431","Cluster_1"
"4","GSM2631432","Cluster_1"
"5","GSM2631433","Cluster_1"
"6","GSM2631434","Cluster_1"
"7","GSM2631435","Cluster_1"
"8","GSM2631436","Cluster_1"
"9","GSM2631438","Cluster_1"
"10","GSM2631439","Cluster_1"
"11","GSM2631440","Cluster_1"
"12","GSM2631441","Cluster_1"
"13","GSM2631442","Cluster_1"
"14","GSM2631443","Cluster_1"
"15","GSM2631444","Cluster_1"
"16","GSM2631445","Cluster_1"
"17","GSM2631446","Cluster_1"
"18","GSM2631447","Cluster_1"
"19","GSM2631448","Cluster_1"
"20","GSM2631449","Cluster_1"
"21","GSM2631450","Cluster_1"
"22","GSM2631451","Cluster_1"
"23","GSM2631452","Cluster_1"
"24","GSM2631453","Cluster_1"
"25","GSM2631454","Cluster_1"
"26","GSM2631455","Cluster_1"
"27","GSM2631456","Cluster_1"
"28","GSM2631457","Cluster_1"
"29","GSM2631458","Cluster_1"
"30","GSM2631459","Cluster_1"
"31","GSM2631460","Cluster_1"
"32","GSM2631461","Cluster_1"
"33","GSM2631462","Cluster_1"
"34","GSM2631463","Cluster_1"
"35","GSM2631464","Cluster_1"
"36","GSM2631465","Cluster_1"
"37","GSM2631466","Cluster_1"
"38","GSM2631467","Cluster_1"
"39","GSM2631468","Cluster_3"
"40","GSM2631469","Cluster_1"
"41","GSM2631470","Cluster_1"
"42","GSM2631471","Cluster_1"
"43","GSM2631472","Cluster_1"
"44","GSM2631473","Cluster_1"
"45","GSM2631474","Cluster_1"
"46","GSM2631475","Cluster_1"
"47","GSM2631476","Cluster_1"
"48","GSM2631477","Cluster_1"
"49","GSM2631478","Cluster_1"
"50","GSM2631479","Cluster_1"
"51","GSM2631480","Cluster_1"
"52","GSM2631481","Cluster_1"
"53","GSM2631482","Cluster_1"
"54","GSM2631483","Cluster_1"
"55","GSM2631484","Cluster_1"
"56","GSM2631485","Cluster_1"
"57","GSM2631486","Cluster_3"
"58","GSM2631487","Cluster_1"
"59","GSM2631488","Cluster_3"
"60","GSM2631489","Cluster_1"
"61","GSM2631490","Cluster_1"
"62","GSM2631491","Cluster_1"
"63","GSM2631492","Cluster_1"
"64","GSM2631493","Cluster_3"
"65","GSM2631494","Cluster_1"
"66","GSM2631495","Cluster_1"
"67","GSM2631496","Cluster_1"
"68","GSM2631498","Cluster_1"
"69","GSM2631499","Cluster_1"
"70","GSM2631500","Cluster_1"
"71","GSM2631501","Cluster_1"
"72","GSM2631502","Cluster_1"
"73","GSM2631503","Cluster_1"
"74","GSM2631504","Cluster_1"
"75","GSM2631505","Cluster_1"
"76","GSM2631506","Cluster_1"
"77","GSM2631507","Cluster_1"
"78","GSM2631508","Cluster_3"
"79","GSM2631509","Cluster_1"
"80","GSM2631510","Cluster_1"
"81","GSM2631511","Cluster_1"
"82","GSM2631512","Cluster_3"
"83","GSM2631513","Cluster_1"
"84","GSM2631514","Cluster_1"
"85","GSM2631515","Cluster_1"
"86","GSM2631516","Cluster_1"
"87","GSM2631517","Cluster_1"
"88","GSM2631518","Cluster_1"
"89","GSM2631519","Cluster_1"
"90","GSM2631520","Cluster_1"
"91","GSM2631521","Cluster_1"
"92","GSM2631522","Cluster_1"
"93","GSM2631523","Cluster_1"
"94","GSM2631524","Cluster_1"
"95","GSM2631525","Cluster_1"
"96","GSM2631526","Cluster_1"
"97","GSM2631527","Cluster_1"
"98","GSM2631528","Cluster_1"
"99","GSM2631529","Cluster_1"
"100","GSM2631530","Cluster_1"
"101","GSM2631531","Cluster_1"
"102","GSM2631532","Cluster_1"
"103","GSM2631533","Cluster_1"
"104","GSM2631534","Cluster_1"
"105","GSM2631535","Cluster_1"
"106","GSM2631536","Cluster_1"
"107","GSM2631537","Cluster_3"
"108","GSM2631538","Cluster_1"
"109","GSM2631539","Cluster_1"
"110","GSM2631540","Cluster_1"
"111","GSM2631541","Cluster_1"
"112","GSM2631542","Cluster_1"
"113","GSM2631543","Cluster_3"
"114","GSM2631544","Cluster_1"
"115","GSM2631545","Cluster_1"
"116","GSM2631546","Cluster_3"
"117","GSM2631547","Cluster_1"
"118","GSM2631548","Cluster_1"
"119","GSM2631549","Cluster_1"
"120","GSM2631550","Cluster_1"
"121","GSM2631551","Cluster_1"
"122","GSM2631552","Cluster_3"
"123","GSM2631553","Cluster_1"
"124","GSM2631554","Cluster_1"
"125","GSM2631555","Cluster_1"
"126","GSM2631556","Cluster_1"
"127","GSM2631557","Cluster_1"
"128","GSM2631558","Cluster_1"
"129","GSM2631559","Cluster_1"
"130","GSM2631560","Cluster_1"
"131","GSM2631561","Cluster_1"
"132","GSM2631562","Cluster_1"
"133","GSM2631563","Cluster_3"
"134","GSM2631564","Cluster_1"
"135","GSM2631565","Cluster_3"
"136","GSM2631566","Cluster_1"
"137","GSM2631567","Cluster_1"
"138","GSM2631568","Cluster_1"
"139","GSM2631569","Cluster_3"
"140","GSM2631570","Cluster_1"
"141","GSM2631571","Cluster_1"
"142","GSM2631572","Cluster_1"
"143","GSM2631573","Cluster_1"
"144","GSM2631574","Cluster_1"
"145","GSM2631575","Cluster_1"
"146","GSM2631576","Cluster_3"
"147","GSM2631577","Cluster_1"
"148","GSM2631578","Cluster_1"
