"dim1","dim2"
"X1772071015_C02",-0.698412333276519,3.43427516578771
"X1772071017_G12",-0.71127349699329,3.28327556970499
"X1772071017_A05",-0.701184471797136,3.42258737753688
"X1772071014_B06",-0.707096495230453,3.37047499567985
"X1772067065_H06",-0.111439716750842,-4.25767417802473
"X1772071017_E02",-0.111442235569342,-4.25768067103065
"X1772067065_B07",-0.70269079162428,3.39746049517543
"X1772067060_B09",-0.111440045659599,-4.25767502588134
"X1772071014_E04",-0.702690791624221,3.39746049517543
"X1772071015_D04",2.38459281654428,-5.41896270302496
"X1772071015_C11",-0.703102485992735,3.39916408071179
"X1772071017_D04",-0.674513345245808,4.73186536356122
"X1772071017_D06",-0.674513345245868,4.73186536356123
"X1772067082_D07",-0.6745091234086,4.73186536238527
"X1772071017_F09",-0.673532282162529,4.5897389709331
"X1772067094_C05",-0.674513475260269,4.73186536379512
"X1772067096_E05",1.12892054616065,-4.83156351625168
"X1772066089_C05",1.12892054616065,-4.83156351625168
"X1772067094_F04",1.12892054616065,-4.83156351625168
"X1772071045_A01",-0.111439022656852,-4.25767238880227
"X1772071015_C08",1.12892054616065,-4.83156351625168
"X1772071045_D06",2.38446314423848,-5.41911254202679
"X1772071017_E06",-0.676355544371769,4.29470744244418
"X1772067066_C10",-0.67632108389587,4.30199083190616
"X1772071017_B05",-0.673319037730265,4.34644137192699
"X1772071014_E06",-0.673319096562063,4.34644109396605
"X1772071014_B04",-0.673320118427274,4.34644138292415
"X1772067066_B09",-0.673320079635277,4.34644137571038
"X1772071017_E10",-0.673320079466311,4.34644137569773
"X1772071015_B08",-0.673319096562054,4.34644109396605
"X1772071014_C11",-0.673320079466302,4.34644137569773
"X1772067066_E10",-0.673319037730265,4.34644137192699
"X1772067065_F11",-0.673320118427274,4.34644138292415
"X1772071014_H11",-0.111439691130732,-4.25767411198161
"X1772071017_B11",2.38459281656285,-5.41896270299154
"X1772071014_A07",2.384593874794,-5.41896079904396
"X1772071017_B03",2.38459387479461,-5.41896079904286
"X1772071015_B04",2.38445463457802,-5.41921513643209
"X1772071014_D03",0.670805279573849,-5.82980527150143
"X1772067065_D06",-0.111439845886393,-4.2576745109085
"X1772067066_H08",-0.111439007289069,-4.25767234918754
"X1772067096_G11",-0.111451398252678,-4.2577042911463
"X1772071017_G11",1.1287107137225,-4.82986548078513
"X1772067054_E12",1.12872867012996,-4.8299410135474
"X1772067083_B12",1.1287107137225,-4.82986548078513
"X1772067054_G01",2.38459281656383,-5.41896270298979
"X1772067096_A02",1.1287107137225,-4.82986548078513
"X1772067093_H05",0.670805279573849,-5.82980527150143
"X1772067083_B09",-0.111439658898154,-4.25767402889297
"X1772071014_H12",0.670805279573849,-5.82980527150143
"X1772067082_H11",-0.111439609348895,-4.25767390116568
"X1772067094_D06",0.670805279573849,-5.82980527150143
"X1772071015_F03",-0.695609917848704,3.70854825649019
"X1772071015_B11",-0.742344288864916,2.80364339873397
"X1772071014_G10",-0.700522150306897,3.56201132277613
"X1772067066_B07",-0.698412352303353,3.43427516586194
"X1772067065_G01",-0.702757041072504,3.40135793270363
"X1772067065_E07",-0.695608657074985,3.7085482108084
"X1772071015_C10",-0.700213540093814,3.56412307201348
"X1772067063_E06",-0.704999932334736,3.39266170278676
"X1772071015_G12",2.38459387479236,-5.4189607990469
"X1772067058_D07",0.670805279573849,-5.82980527150143
"X1772067065_D01",-0.111439609869816,-4.2576739025085
"X1772071015_A02",-0.111439717490184,-4.2576741799306
"X1772071014_F01",0.670805279573849,-5.82980527150143
"X1772071015_D06",2.38459387479654,-5.41896079903939
"X1772071017_A11",-0.111440213237504,-4.25767545786187
"X1772071017_B01",2.38459387482684,-5.41896079898487
"X1772071017_C07",0.670805279573849,-5.82980527150143
"X1772071015_H11",-0.111446762581048,-4.25769234092234
"X1772071014_A05",-0.71740642328626,3.23531077526156
"X1772071017_A10",-0.111441132798219,-4.25767782830092
"X1772071017_C08",-0.111446729053105,-4.25769225449202
"X1772071017_B09",-0.111442780667324,-4.25768207619212
"X1772067066_A09",-0.111430976721879,-4.25765164851429
"X1772067065_A12",2.38459387476471,-5.41896079909666
"X1772071015_G04",0.670805279573849,-5.82980527150143
"X1772067066_B02",-0.111445647956225,-4.25768946758272
"X1772071015_E06",0.670805279573849,-5.82980527150143
"X1772067064_E04",0.670805279573849,-5.82980527150143
"X1772071015_C01",2.3845928165662,-5.41896270298553
"X1772071014_F06",0.670805279573849,-5.82980527150143
"X1772071017_D10",-0.111434214192238,-4.25765999377245
"X1772071017_C05",-0.111446800914509,-4.25769243974063
"X1772071014_E05",-0.673070665335758,4.35032591404936
"X1772071017_E04",-0.744354392425327,2.8432053361724
"X1772058148_D08",0.670805279573849,-5.82980527150143
"X1772067065_F07",-0.111434048216902,-4.25765956593355
"X1772062128_G08",-0.111446129803826,-4.25769070971368
"X1772066102_B02",-0.674307352406029,4.6061633329813
"X1772063077_B03",-0.673531846563251,4.58973896712599
"X1772062114_H03",-0.674307352406029,4.6061633329813
"X1772066074_A03",-0.67353119132664,4.58973896788991
"X1772066102_C09",-0.667991910097055,4.61857812405969
"X1772062114_E02",-0.680539196683754,4.67456466331498
"X1772063068_G07",-0.673532322233282,4.58973895921128
"X1772062115_A12",-0.682358095312408,4.69074335755897
"X1772062113_F08",-0.67353139909503,4.58973896880831
"X1772066108_B02",-0.679638187563186,4.55729693703129
"X1772066102_G06",-0.674509918615541,4.73186533160878
"X1772071035_G04",-0.674510618865687,4.73186536390598
"X1772066102_C06",-0.674513782054957,4.73186536754817
"X1772067057_H02",-0.674509918615387,4.73186533160878
"X1772062115_G05",-0.674513782054957,4.73186536754817
"X1772066097_G03",-0.111436545853113,-4.25766600418564
"X1772063064_G08",-2.36512326629377,12.2658023936093
"X1772067082_B01",-0.674514423905328,4.73186536711713
"X1772066099_C04",-0.674397323119895,4.73364183142213
"X1772071040_A12",-0.674513475260281,4.73186536379512
"X1772063078_F01",-0.677338822483561,4.6868163109226
"X1772067082_F03",-0.673531527382491,4.58973894970389
"X1772071044_A03",-0.674510618872586,4.73186536390598
"X1772071045_C11",-0.674513455448926,4.73186536401806
"X1772067083_B10",-0.674513374050028,4.73186536712653
"X1772066077_E08",-0.674509918615337,4.73186533160878
"X1772063078_F12",-0.674513475258873,4.73186536379512
"X1772062115_C05",-0.674510618865687,4.73186536390598
"X1772066099_C11",-0.111441358633975,-4.25767841046058
"X1772063064_G03",-0.111464987406607,-4.25773932372061
"X1772071036_E09",0.670805279573849,-5.82980527150143
"X1772062128_D11",-0.11146428849539,-4.2577375218934
"X1772067058_A12",-0.111396570378912,-4.25755901498123
"X1772063078_B02",-0.111449384572825,-4.25769910008518
"X1772066108_E06",0.670805279573849,-5.82980527150143
"X1772066100_A12",1.2004832063402,-4.69097111876021
"X1772066073_B03",1.2004832063402,-4.69097111876021
"X1772062111_G03",-0.673330426444391,4.34594272260727
"X1772063061_H03",1.2004832063402,-4.69097111876021
"X1772066097_H05",-2.36498406664112,12.2659221135303
"X1772067065_A02",-0.698412337090197,3.43427516580257
"X1772066077_H12",-0.673330426455864,4.34594272260715
"X1772062128_G04",-0.673330426443192,4.34594272260707
"X1772062109_H03",1.2004832063402,-4.69097111876021
"X1772063063_F01",-2.36512315545429,12.2658025079197
"X1772062128_B10",1.2004832063402,-4.69097111876021
"X1772063061_B03",1.2004832063402,-4.69097111876021
"X1772063061_B05",-4.31797836668923,9.21677616149855
"X1772058177_G09",-0.673330426443019,4.34594272260727
"X1772066095_D02",1.2004832063402,-4.69097111876021
"X1772066097_G12",1.2004832063402,-4.69097111876021
"X1772066097_G02",1.2004832063402,-4.69097111876021
"X1772066100_G07",1.2004832063402,-4.69097111876021
"X1772066097_H01",0.670805279573849,-5.82980527150143
"X1772071045_H03",1.2004832063402,-4.69097111876021
"X1772067083_F08",1.2004832063402,-4.69097111876021
"X1772067083_H01",-0.738559923422623,2.77164235113731
"X1772066101_F04",-0.739509707480908,2.77886673928469
"X1772067058_H12",0.670805279573849,-5.82980527150143
"X1772067082_F02",-0.738784850584266,2.77403438458751
"X1772067058_H05",-0.738784761192819,2.77403438450583
"X1772071035_B09",-0.738784855829989,2.77403438429294
"X1772071035_H02",1.2004832063402,-4.69097111876021
"X1772062109_H07",1.2004832063402,-4.69097111876021
"X1772067076_E03",0.670805279573849,-5.82980527150143
"X1772066099_H06",1.2004832063402,-4.69097111876021
"X1772066102_G12",1.2004832063402,-4.69097111876021
"X1772066073_B02",1.2004832063402,-4.69097111876021
"X1772067076_A03",1.2004832063402,-4.69097111876021
"X1772066102_B11",1.2004832063402,-4.69097111876021
"X1772066089_A01",1.2004832063402,-4.69097111876021
"X1772066099_A01",1.2004832063402,-4.69097111876021
"X1772067057_H04",1.2004832063402,-4.69097111876021
"X1772066102_C11",1.2004832063402,-4.69097111876021
"X1772071045_A10",1.2004832063402,-4.69097111876021
"X1772066096_G01",1.2004832063402,-4.69097111876021
"X1772066102_H10",1.2004832063402,-4.69097111876021
"X1772066099_C12",1.2004832063402,-4.69097111876021
"X1772071044_H10",0.670805279573849,-5.82980527150143
"X1772067083_D10",0.670805279573849,-5.82980527150143
"X1772066099_E04",1.2004832063402,-4.69097111876021
"X1772066100_D08",1.2004832063402,-4.69097111876021
"X1772066099_H02",1.2004832063402,-4.69097111876021
"X1772066089_H04",0.670805279573849,-5.82980527150143
"X1772066089_B06",1.2004832063402,-4.69097111876021
"X1772066102_G08",1.2004832063402,-4.69097111876021
"X1772066102_A04",1.2004832063402,-4.69097111876021
"X1772066097_B06",1.2004832063402,-4.69097111876021
"X1772067076_E04",1.2004832063402,-4.69097111876021
"X1772066097_C06",-0.698412364697762,3.43427516599786
"X1772067057_D12",-0.698412333276519,3.43427516578771
"X1772066100_A05",1.2004832063402,-4.69097111876021
"X1772066101_F03",0.670805279573849,-5.82980527150143
"X1772071014_A06",1.2004832063402,-4.69097111876021
"X1772071015_A11",0.670805279573849,-5.82980527150143
"X1772071015_C09",-0.701317101151627,3.41377780157067
"X1772063071_A06",1.2004832063402,-4.69097111876021
"X1772058148_F09",1.2004832063402,-4.69097111876021
"X1772067066_H09",1.2004832063402,-4.69097111876021
"X1772067065_G10",0.670805279573849,-5.82980527150143
"X1772071015_A05",1.2004832063402,-4.69097111876021
"X1772067065_B10",-0.698412352303886,3.43427516586195
"X1772067065_A01",-0.698412352303886,3.43427516586195
"X1772062128_F10",-0.698412364697762,3.43427516599786
"X1772071017_H06",-0.698412333276519,3.43427516578771
"X1772071014_A12",-0.6975499159208,3.44106008365588
"X1772067065_F08",-0.698412337090182,3.43427516580257
"X1772058148_H04",1.2004832063402,-4.69097111876021
"X1772066102_B06",1.2004832063402,-4.69097111876021
"X1772063077_H05",0.670805279573849,-5.82980527150143
"X1772067076_A12",0.670805279573849,-5.82980527150143
"X1772067065_B12",1.2004832063402,-4.69097111876021
