"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Ttr","Ttr",12.3185710532603,0.9971573623815,0.932026964820893,4.3050304519799e-19
"Sst","Sst",12.2103973883382,0.988540136402712,0.915205402636665,1.86907537813233e-18
"Hbb-bs","Hbb-bs",11.7912035960801,0.998497286881199,0.893369169675679,1.20747444645752e-17
"Npy","Npy",11.33209250907,0.976113512081481,0.8361645194236,1.2909465149688e-15
"Hba-a2-loc1","Hba-a2-loc1",10.7126129749365,0.997209478476606,0.810484684793138,9.50062859455227e-15
"Hba-a2-loc2","Hba-a2-loc2",10.6961851300615,0.997142745105403,0.809228395055573,1.04582829031949e-14
"mt-Tc","mt-Tc",10.9477099839527,0.9337136726539,0.764611526408863,2.87388877413605e-13
"Hbb-b2","Hbb-b2",9.44728990123914,0.999461427157109,0.72157770380746,5.87040156272595e-12
"Vip","Vip",9.57194220989773,0.979177088842412,0.7102503918002,1.26142771348779e-11
"Crh","Crh",8.977566144122,0.989785886167659,0.678075350157579,1.03678537181964e-10
"Ptgds","Ptgds",9.75171141539587,0.921814365681103,0.665805179114562,2.25614951132708e-10
"Htr3a","Htr3a",8.69731512171625,0.972559257941917,0.640518191320166,1.07103531359501e-09
"9630013A20Rik","9630013A20Rik",8.44749654666539,0.985499870717783,0.635210484656784,1.4738757128071e-09
"mt-Tl2","mt-Tl2",9.85658115076482,0.880402420184962,0.631930013580041,1.79300874062531e-09
"Crhbp","Crhbp",8.25785923463963,0.991369139172888,0.627123823881222,2.38505327674468e-09
"Plp1","Plp1",11.0881919605349,0.779015965368161,0.620568550730074,3.50740858008768e-09
"Trf","Trf",10.2866732649939,0.829222403362143,0.611676167284502,5.88003969522829e-09
"Reln","Reln",8.09855851793841,0.964250727585704,0.588207826488789,2.21861312844791e-08
"Ccl3","Ccl3",7.77544567410286,0.981964722127867,0.581743841825952,3.16940865771961e-08
"Cort","Cort",7.41023933077602,0.998142726159711,0.570130014695587,5.95666778333165e-08
"Ccl7","Ccl7",7.60806996772166,0.981926390136902,0.56903450020712,6.317834715697e-08
"mt-Tf","mt-Tf",8.87067295482459,0.88556659375249,0.566117004578033,7.38605523155467e-08
"Acta2","Acta2",7.65176927141799,0.973101353428246,0.563528749376152,8.47833643782256e-08
"Mag","Mag",9.53546979681393,0.83256187190846,0.561014410220948,9.68806818929843e-08
"Apoe","Apoe",8.57402579792481,0.898164124555139,0.557135653566706,1.18875832647506e-07
"Cnr1","Cnr1",8.5928307440545,0.89489039904525,0.555235462235763,1.3134114877628e-07
"Ccl2","Ccl2",7.43546191447928,0.980560723261203,0.554485217616711,1.36602677323899e-07
"Apod","Apod",9.45553271778242,0.829334258591455,0.552042831729693,1.5517922186059e-07
"Ccl4","Ccl4",7.29553937040683,0.98813017867928,0.551268684559904,1.61560290454519e-07
"Dqx1","Dqx1",7.15076274435542,0.996654631048493,0.5485458525543,1.86078392591697e-07
"Kctd12","Kctd12",8.842664621825,0.864148694012635,0.542667761582183,2.51847124608488e-07
"Gkn3","Gkn3",7.06716542701711,0.9953433426458,0.540692757189407,2.78602862411059e-07
"Gad2","Gad2",7.80799883862303,0.935515055018965,0.537748239219768,3.23642179707331e-07
"Itm2a","Itm2a",8.01178633120661,0.919977386356198,0.537476049124937,3.28143103797555e-07
"mt-Tp","mt-Tp",8.42248531567029,0.88186167915952,0.529736934646792,4.8456300567806e-07
"Opalin","Opalin",8.43920755494128,0.878965938626926,0.52806829497876,5.26662236685598e-07
"Ccl12","Ccl12",6.97842446544086,0.984491507985735,0.522857417715299,6.820180012076e-07
"Mal","Mal",9.19991768027457,0.815394892228312,0.519735970691378,7.9527593747685e-07
