"","sc3_34_clusters"
"GSM1772058147","32"
"GSM1772096158","29"
"GSM1772096144","5"
"GSM1772092004","32"
"GSM1772092004.1","32"
"GSM1772096173","32"
"GSM1772092004.2","32"
"GSM1772078030","32"
"GSM1772092004.3","32"
"GSM1772092009","32"
"GSM1772078019","32"
"GSM1772089187","32"
"GSM1772078018","32"
"GSM1772089188","32"
"GSM1772089187.1","32"
"GSM1772089188.1","32"
"GSM1772096099","32"
"GSM1772096162","32"
"GSM1772096135","14"
"GSM1772096102","16"
"GSM1772096165","32"
"GSM1772096165.1","32"
"GSM1772096138","32"
"GSM1772092013","32"
"GSM1772096101","32"
"GSM1772084021","32"
"GSM1772078028","32"
"GSM1772084017","32"
"GSM1772096141","32"
"GSM1772078017","32"
"GSM1772075304","32"
"GSM1772078018.1","32"
"GSM1772092008","32"
"GSM1772078030.1","32"
"GSM1772096144.1","32"
"GSM1772078019.1","32"
"GSM1772078030.2","32"
"GSM1772096162.1","32"
"GSM1772096168","13"
"GSM1772078018.2","9"
"GSM1772078018.3","29"
"GSM1772078016","19"
"GSM1772078013","32"
"GSM1772078013.1","9"
"GSM1772096145","32"
"GSM1772096126","32"
"GSM1772096168.1","27"
"GSM1772078013.2","29"
"GSM1772092008.1","32"
"GSM1772096097","29"
"GSM1772078019.2","16"
"GSM1772078018.4","29"
"GSM1772078022","29"
"GSM1772089196","32"
"GSM1772075310","29"
"GSM1772096162.2","4"
"GSM1772078014","26"
"GSM1772096139","29"
"GSM1772078016.1","13"
"GSM1772089186","29"
"GSM1772096126.1","29"
"GSM1772096096","7"
"GSM1772096099.1","29"
"GSM1772096101.1","5"
"GSM1772096132","13"
"GSM1772096134","13"
"GSM1772096141.1","32"
"GSM1772084014","32"
"GSM1772084017.1","29"
"GSM1772096097.1","29"
"GSM1772096097.2","29"
"GSM1772096138.1","13"
"GSM1772096139.1","29"
"GSM1772096140","29"
"GSM1772096141.2","29"
"GSM1772096175","29"
"GSM1772078028.1","14"
"GSM1772089194","13"
"GSM1772096099.2","29"
"GSM1772096100","7"
"GSM1772096100.1","29"
"GSM1772096132.1","29"
"GSM1772096133","29"
"GSM1772096134.1","29"
"GSM1772096138.2","28"
"GSM1772096162.3","14"
"GSM1772096172","29"
"GSM1772096173.1","29"
"GSM1772084014.1","29"
"GSM1772084021.1","28"
"GSM1772075304.1","29"
"GSM1772078028.2","11"
"GSM1772078031","26"
"GSM1772089190","29"
"GSM1772092004.4","27"
"GSM1772096103","29"
"GSM1772096135.1","29"
"GSM1772096133.1","29"
"GSM1772096134.2","29"
"GSM1772096171","29"
"GSM1772096172.1","29"
"GSM1772096173.2","29"
"GSM1772075317","29"
"GSM1772075317.1","28"
"GSM1772075317.2","16"
"GSM1772075304.2","29"
"GSM1772075310.1","19"
"GSM1772078029","34"
"GSM1772078029.1","20"
"GSM1772092013.1","14"
"GSM1772089190.1","29"
"GSM1772089186.1","29"
"GSM1772096097.3","28"
"GSM1772096097.4","20"
"GSM1772096100.2","12"
"GSM1772096100.3","19"
"GSM1772096100.4","29"
"GSM1772096100.5","29"
"GSM1772096103.1","12"
"GSM1772096132.2","23"
"GSM1772096132.3","29"
"GSM1772096132.4","29"
"GSM1772096135.2","19"
"GSM1772096133.2","19"
"GSM1772096134.3","34"
"GSM1772096136","29"
"GSM1772096138.3","34"
"GSM1772096138.4","13"
"GSM1772096138.5","12"
"GSM1772096138.6","28"
"GSM1772096138.7","12"
