"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Ubb","Ubb",8.30423722501714,0.298755431079365,-0.66148480261075,6.12835853128813e-22
"Ptma","Ptma",7.16087986183931,0.437449949504658,-0.542944431228303,1.4165330401651e-15
"Cfl1","Cfl1",9.92347605604297,0.353520976679721,-0.538942427735066,2.21574428782632e-15
"H3f3a","H3f3a",6.4446008137115,0.448823235556812,-0.538159453345047,2.41754983059062e-15
"Gapdh","Gapdh",6.79571500650173,0.463099053233443,-0.521588875281508,1.48769427217289e-14
"Mir6236","Mir6236",8.78496195020486,0.43588979286882,-0.508852299163219,5.80044265223231e-14
"Chchd2","Chchd2",8.96318509361413,0.440302590022567,-0.497508905523699,1.89826872167725e-13
"Rpl18a","Rpl18a",8.20506011054465,0.471288038485213,-0.49175152807518,3.43229556078861e-13
"Ddx5","Ddx5",11.5196853901209,0.325929464234151,-0.481805518115122,9.40661718167987e-13
"Rpl18","Rpl18",7.45203527354619,0.497614374664492,-0.479158667610086,1.22620853744008e-12
"Hspa8","Hspa8",9.29714555193039,0.445773606869348,-0.477074898181328,1.50935592325912e-12
"Eef1a1","Eef1a1",10.8758261293153,0.373583708404909,-0.469299932503984,3.25276636421769e-12
"Ptgds","Ptgds",16.9282303534157,0.979351181062074,0.510625290394066,4.06290313964141e-12
"Rpl13","Rpl13",6.9898202201176,0.516391759438898,-0.46632480054635,4.35031547540743e-12
"Cox6a1","Cox6a1",9.48401725691557,0.448283221059348,-0.465821906954833,4.56868526789177e-12
"Srsf5","Srsf5",9.36216301164173,0.455290542050852,-0.464507756191562,5.1912907691371e-12
"Tpt1","Tpt1",6.32373033752135,0.523159605100519,-0.464409177793367,5.24121027593537e-12
"Rplp2","Rplp2",7.53216108498321,0.511642365479979,-0.464177965132196,5.36014721374641e-12
"Actb","Actb",12.473477457026,0.306341270368686,-0.445305022216825,3.23311321038534e-11
"Rps4x","Rps4x",7.89542381038297,0.525188453400404,-0.445282086954038,3.24004699099744e-11
"Rps2","Rps2",7.30469355747101,0.535725053390216,-0.442797682469159,4.08390018620653e-11
"Gpx4","Gpx4",8.45162325154114,0.513555271223828,-0.442321543474729,4.26856600205686e-11
"Gm13826","Gm13826",7.30469355747101,0.53754090327153,-0.440981832587845,4.83307116905372e-11
"Ftl1","Ftl1",10.5059107730002,0.422465278296929,-0.43958109441371,5.50125699625793e-11
"Rpl14-ps1","Rpl14-ps1",8.76520320665317,0.50708732111775,-0.438375092114489,6.14824914531973e-11
"Gng5","Gng5",7.72178276845979,0.535065862368451,-0.438267762200482,6.20930787730525e-11
"Rpl7","Rpl7",9.1009251010569,0.501347318423796,-0.430521269848593,1.25970527338155e-10
"Tuba1b","Tuba1b",8.23888237384058,0.532233607856479,-0.429861805906193,1.33718945764546e-10
"Rps19","Rps19",7.80799883862303,0.542608993901765,-0.429395357741893,1.39478586377305e-10
"Cox6c","Cox6c",9.38607803400871,0.491835878556434,-0.426840143467363,1.75596002418997e-10
"Atp5h","Atp5h",8.53954658023841,0.527536367387604,-0.425594158828331,1.96373923125051e-10
"Rpl3","Rpl3",7.47654370621426,0.555253181290939,-0.421231052276534,2.89830492154936e-10
"Hnrnpk","Hnrnpk",9.26936048435873,0.503419850916576,-0.420728097317923,3.03061531998503e-10
"Rplp1","Rplp1",9.68141412519875,0.484111643025643,-0.420698826718852,3.03849427760799e-10
"Pfn1","Pfn1",9.67436884180001,0.484716475042336,-0.420442029423924,3.10848035326232e-10
"Rps15","Rps15",8.98612646417927,0.51753035970548,-0.419323509402959,3.43210372497785e-10
"Rps26","Rps26",7.91348784071516,0.55128377901912,-0.41884258957996,3.58114641570396e-10
"Cox8a","Cox8a",9.47998230800967,0.496906945290803,-0.41738515635905,4.0724256661857e-10
"Rps14","Rps14",9.53157640613392,0.496621930844535,-0.415292385345868,4.89456820018207e-10
"Rps24","Rps24",8.69034724996876,0.533047330172748,-0.415068361496317,4.99162231026916e-10
"Eif1","Eif1",9.57761765010799,0.495017388613578,-0.414785383326843,5.11690270287166e-10
"Cox4i1","Cox4i1",10.5916158428956,0.442936152684542,-0.414626605491519,5.18853430557393e-10
"Rpl6","Rpl6",6.67383905599044,0.571268856701738,-0.414360490532183,5.31078884249737e-10
"Rps3a1","Rps3a1",8.842664621825,0.535283210837759,-0.40730482998646,9.79905100877387e-10
"Rpl39","Rpl39",7.27705487614873,0.571766197538651,-0.407097651874799,9.97546217746524e-10
"Rps25","Rps25",6.70182625841205,0.578373141660398,-0.407056759487068,1.00106456547886e-09
"Rpl14","Rpl14",8.33136485049545,0.553165153011203,-0.406291851106877,1.06914907933815e-09
"Rpl35a","Rpl35a",7.78201533500419,0.569433012019143,-0.402989214419923,1.41861506827174e-09
"Rpl7a","Rpl7a",6.83415498140132,0.581430469987153,-0.402917522804324,1.42731812970395e-09
"Rps18","Rps18",6.55612281784117,0.586513063744936,-0.399864833485031,1.85024589064507e-09
"Cox5b","Cox5b",7.88935185259465,0.572153823813437,-0.398430181219295,2.08896769195243e-09
"Actg1","Actg1",6.95535930524299,0.587162730777031,-0.395953290976167,2.57347299485027e-09
"Plp1","Plp1",16.0459323956878,0.961042818345869,0.437565389725946,3.03975110629437e-09
"Cox6b1","Cox6b1",9.7075316929376,0.509730299234063,-0.393780589613767,3.08719499844366e-09
"Rhoa","Rhoa",10.5831768123542,0.464484547439667,-0.393511778204509,3.15730433771006e-09
"Atp5j","Atp5j",10.5479548752539,0.467569812048285,-0.39225616653959,3.50582612690913e-09
"Rpl13a","Rpl13a",9.9323624102297,0.499899833773577,-0.392107557637376,3.54947268539383e-09
"Btf3","Btf3",8.62241793925047,0.561384832226596,-0.389041278159299,4.57749382164096e-09
"Rps9","Rps9",9.95143043437934,0.502758802631391,-0.388272353912255,4.87760411622902e-09
