"","sc3_42_clusters"
"GSM2631429","17"
"GSM2631430","18"
"GSM2631431","19"
"GSM2631432","17"
"GSM2631433","18"
"GSM2631434","19"
"GSM2631435","17"
"GSM2631436","17"
"GSM2631438","18"
"GSM2631439","18"
"GSM2631440","17"
"GSM2631441","19"
"GSM2631442","19"
"GSM2631443","17"
"GSM2631444","18"
"GSM2631445","19"
"GSM2631446","18"
"GSM2631447","19"
"GSM2631448","19"
"GSM2631449","17"
"GSM2631450","19"
"GSM2631451","19"
"GSM2631452","17"
"GSM2631453","17"
"GSM2631454","17"
"GSM2631455","19"
"GSM2631456","19"
"GSM2631457","19"
"GSM2631458","18"
"GSM2631459","19"
"GSM2631460","19"
"GSM2631461","19"
"GSM2631462","19"
"GSM2631463","19"
"GSM2631464","17"
"GSM2631465","19"
"GSM2631466","19"
"GSM2631467","19"
"GSM2631468","18"
"GSM2631469","19"
"GSM2631470","19"
"GSM2631471","18"
"GSM2631472","19"
"GSM2631473","19"
"GSM2631474","19"
"GSM2631475","19"
"GSM2631476","17"
"GSM2631477","18"
"GSM2631478","18"
"GSM2631479","19"
"GSM2631480","17"
"GSM2631481","19"
"GSM2631482","17"
"GSM2631483","19"
"GSM2631484","18"
"GSM2631485","18"
"GSM2631486","18"
"GSM2631487","19"
"GSM2631488","18"
"GSM2631489","17"
"GSM2631490","19"
"GSM2631491","17"
"GSM2631492","17"
"GSM2631493","19"
"GSM2631494","17"
"GSM2631495","19"
"GSM2631496","19"
"GSM2631498","18"
"GSM2631499","19"
"GSM2631500","17"
"GSM2631501","17"
"GSM2631502","19"
"GSM2631503","17"
"GSM2631504","19"
"GSM2631505","19"
"GSM2631506","19"
"GSM2631507","18"
"GSM2631508","19"
"GSM2631509","17"
"GSM2631510","19"
"GSM2631511","17"
"GSM2631512","18"
"GSM2631513","17"
"GSM2631514","19"
"GSM2631515","17"
"GSM2631516","18"
"GSM2631517","19"
"GSM2631518","19"
"GSM2631519","18"
"GSM2631520","19"
"GSM2631521","18"
"GSM2631522","17"
"GSM2631523","19"
"GSM2631524","17"
"GSM2631525","19"
"GSM2631526","17"
"GSM2631527","18"
