"","x"
"GSM2631429","2"
"GSM2631430","1"
"GSM2631431","2"
"GSM2631432","2"
"GSM2631433","0"
"GSM2631434","2"
"GSM2631435","0"
"GSM2631436","0"
"GSM2631438","1"
"GSM2631439","0"
"GSM2631440","2"
"GSM2631441","1"
"GSM2631442","0"
"GSM2631443","0"
"GSM2631444","1"
"GSM2631445","2"
"GSM2631446","2"
"GSM2631447","0"
"GSM2631448","2"
"GSM2631449","1"
"GSM2631450","0"
"GSM2631451","1"
"GSM2631452","0"
"GSM2631453","1"
"GSM2631454","0"
"GSM2631455","2"
"GSM2631456","2"
"GSM2631457","0"
"GSM2631458","1"
"GSM2631459","2"
"GSM2631460","1"
"GSM2631461","2"
"GSM2631462","1"
"GSM2631463","1"
"GSM2631464","0"
"GSM2631465","2"
"GSM2631466","2"
"GSM2631467","2"
"GSM2631468","1"
"GSM2631469","2"
"GSM2631470","1"
"GSM2631471","2"
"GSM2631472","2"
"GSM2631473","0"
"GSM2631474","1"
"GSM2631475","0"
"GSM2631476","1"
"GSM2631477","2"
"GSM2631478","0"
"GSM2631479","0"
"GSM2631480","0"
"GSM2631481","0"
"GSM2631482","0"
"GSM2631483","2"
"GSM2631484","2"
"GSM2631485","2"
"GSM2631486","2"
"GSM2631487","1"
"GSM2631488","1"
"GSM2631489","0"
"GSM2631490","2"
"GSM2631491","0"
"GSM2631492","0"
"GSM2631493","1"
"GSM2631494","0"
"GSM2631495","2"
"GSM2631496","2"
"GSM2631498","2"
"GSM2631499","1"
"GSM2631500","0"
"GSM2631501","0"
"GSM2631502","0"
"GSM2631503","1"
"GSM2631504","2"
"GSM2631505","0"
"GSM2631506","0"
"GSM2631507","0"
"GSM2631508","1"
"GSM2631509","2"
"GSM2631510","1"
"GSM2631511","1"
"GSM2631512","0"
"GSM2631513","0"
"GSM2631514","1"
"GSM2631515","0"
"GSM2631516","1"
"GSM2631517","0"
"GSM2631518","0"
"GSM2631519","1"
"GSM2631520","0"
"GSM2631521","2"
"GSM2631522","0"
"GSM2631523","1"
"GSM2631524","0"
"GSM2631525","1"
"GSM2631526","0"
"GSM2631527","2"
"GSM2631528","0"
"GSM2631529","2"
"GSM2631530","2"
"GSM2631531","2"
"GSM2631532","2"
"GSM2631533","0"
"GSM2631534","0"
"GSM2631535","1"
"GSM2631536","0"
"GSM2631537","1"
"GSM2631538","0"
"GSM2631539","2"
"GSM2631540","0"
"GSM2631541","1"
"GSM2631542","2"
"GSM2631543","1"
"GSM2631544","2"
"GSM2631545","2"
"GSM2631546","1"
"GSM2631547","1"
"GSM2631548","0"
"GSM2631549","2"
"GSM2631550","1"
"GSM2631551","0"
"GSM2631552","1"
"GSM2631553","2"
"GSM2631554","0"
"GSM2631555","0"
"GSM2631556","0"
"GSM2631557","0"
"GSM2631558","1"
"GSM2631559","1"
"GSM2631560","0"
"GSM2631561","1"
"GSM2631562","1"
"GSM2631563","1"
"GSM2631564","0"
"GSM2631565","2"
"GSM2631566","0"
"GSM2631567","0"
"GSM2631568","2"
"GSM2631569","1"
"GSM2631570","0"
"GSM2631571","1"
"GSM2631572","0"
"GSM2631573","2"
"GSM2631574","1"
"GSM2631575","0"
"GSM2631576","0"
"GSM2631577","0"
"GSM2631578","2"
"GSM2631579","1"
"GSM2631580","1"
"GSM2631581","0"
"GSM2631582","1"
"GSM2631583","1"
"GSM2631584","2"
"GSM2631585","1"
"GSM2631586","0"
"GSM2631587","0"
"GSM2631588","1"
"GSM2631589","2"
"GSM2631590","0"
"GSM2631591","1"
"GSM2631592","2"
"GSM2631593","0"
"GSM2631594","0"
"GSM2631595","0"
"GSM2631596","1"
"GSM2631597","1"
"GSM2631598","2"
"GSM2631600","0"
"GSM2631601","1"
"GSM2631602","1"
"GSM2631603","1"
"GSM2631605","2"
"GSM2631606","1"
"GSM2631607","0"
"GSM2631608","2"
"GSM2631609","0"
"GSM2631610","0"
"GSM2631611","0"
"GSM2631612","2"
"GSM2631613","1"
"GSM2631614","1"
"GSM2631615","1"
"GSM2631616","0"
"GSM2631617","1"
"GSM2631618","0"
"GSM2631619","1"
"GSM2631620","1"
"GSM2631621","0"
"GSM2631622","1"
"GSM2631623","1"
"GSM2631624","1"
"GSM2631625","1"
"GSM2631626","0"
"GSM2631627","0"
"GSM2631628","1"
"GSM2631629","0"
"GSM2631630","0"
"GSM2631631","1"
"GSM2631632","0"
"GSM2631633","1"
"GSM2631634","1"
"GSM2631635","0"
"GSM2631636","2"
"GSM2631637","1"
"GSM2631638","1"
"GSM2631639","1"
"GSM2631640","0"
"GSM2631641","2"
"GSM2631642","0"
"GSM2631643","0"
"GSM2631644","1"
"GSM2631645","1"
"GSM2631646","0"
"GSM2631647","0"
"GSM2631648","1"
"GSM2631649","2"
"GSM2631650","2"
"GSM2631651","0"
"GSM2631652","0"
"GSM2631653","0"
"GSM2631654","1"
"GSM2631655","1"
"GSM2631656","1"
"GSM2631657","1"
"GSM2631658","0"
"GSM2631659","2"
"GSM2631660","2"
"GSM2631661","2"
"GSM2631662","2"
"GSM2631663","2"
"GSM2631664","0"
"GSM2631665","2"
"GSM2631666","1"
"GSM2631667","1"
"GSM2631668","0"
"GSM2631669","2"
"GSM2631670","1"
"GSM2631671","2"
"GSM2631672","0"
"GSM2631673","2"
"GSM2631674","2"
"GSM2631675","2"
"GSM2631676","1"
"GSM2631677","1"
"GSM2631678","1"
