"","x"
"GSM2612539","0"
"GSM2612540","0"
"GSM2612541","2"
"GSM2612542","2"
"GSM2612543","4"
"GSM2612544","2"
"GSM2612545","2"
"GSM2612546","5"
"GSM2612547","2"
"GSM2612548","9"
"GSM2612549","0"
"GSM2612550","2"
"GSM2612551","5"
"GSM2612552","2"
"GSM2612553","0"
"GSM2612554","0"
"GSM2612555","5"
"GSM2612556","2"
"GSM2612557","2"
"GSM2612558","0"
"GSM2612559","4"
"GSM2612560","0"
"GSM2612561","0"
"GSM2612562","0"
"GSM2612563","5"
"GSM2612564","2"
"GSM2612565","4"
"GSM2612566","2"
"GSM2612567","0"
"GSM2612568","2"
"GSM2612569","0"
"GSM2612570","0"
"GSM2612571","2"
"GSM2612572","0"
"GSM2612573","2"
"GSM2612574","0"
"GSM2612575","2"
"GSM2612576","0"
"GSM2612577","4"
"GSM2612578","2"
"GSM2612579","5"
"GSM2612580","2"
"GSM2612581","0"
"GSM2612582","5"
"GSM2612583","5"
"GSM2612584","4"
"GSM2612585","9"
"GSM2612586","0"
"GSM2612587","9"
"GSM2612588","0"
"GSM2612589","0"
"GSM2612590","4"
"GSM2612591","2"
"GSM2612592","2"
"GSM2612593","2"
"GSM2612594","2"
"GSM2612595","5"
"GSM2612596","0"
"GSM2612597","4"
"GSM2612598","0"
"GSM2612599","0"
"GSM2612600","4"
"GSM2612601","5"
"GSM2612602","5"
"GSM2612603","0"
"GSM2612604","5"
"GSM2612605","2"
"GSM2612606","0"
"GSM2612607","0"
"GSM2612608","0"
"GSM2612609","0"
"GSM2612610","2"
"GSM2612611","5"
"GSM2612612","5"
"GSM2612613","0"
"GSM2612614","0"
"GSM2612615","0"
"GSM2612616","2"
"GSM2612617","0"
"GSM2612618","5"
"GSM2612619","9"
"GSM2612620","0"
"GSM2612621","5"
"GSM2612622","9"
"GSM2612623","5"
"GSM2612624","9"
"GSM2612625","0"
"GSM2612626","0"
"GSM2612627","5"
"GSM2612628","2"
"GSM2612629","9"
"GSM2612630","0"
"GSM2612631","2"
"GSM2612632","0"
"GSM2612633","0"
"GSM2612634","2"
"GSM2612635","0"
"GSM2612636","5"
"GSM2612637","5"
"GSM2612638","2"
"GSM2612639","2"
"GSM2612640","0"
"GSM2612641","0"
"GSM2612642","2"
"GSM2612643","9"
"GSM2612644","2"
"GSM2612645","9"
"GSM2612646","5"
"GSM2612647","2"
"GSM2612648","0"
"GSM2612649","0"
"GSM2612650","5"
"GSM2612651","5"
"GSM2612652","5"
"GSM2612653","0"
"GSM2612654","0"
"GSM2612655","2"
"GSM2612656","2"
"GSM2612657","5"
"GSM2612658","2"
"GSM2612659","0"
"GSM2612660","2"
"GSM2612661","4"
"GSM2612662","2"
"GSM2612663","0"
"GSM2612664","5"
"GSM2612665","0"
"GSM2612666","0"
"GSM2612667","5"
"GSM2612668","2"
"GSM2612669","2"
"GSM2612670","2"
"GSM2612671","9"
"GSM2612672","0"
"GSM2612673","5"
"GSM2612674","0"
"GSM2612675","2"
"GSM2612676","4"
"GSM2612677","4"
"GSM2612678","0"
"GSM2612679","4"
"GSM2612680","2"
"GSM2612681","2"
"GSM2612682","0"
"GSM2612683","4"
"GSM2612684","0"
"GSM2612685","2"
"GSM2612686","2"
"GSM2612687","0"
"GSM2612688","9"
"GSM2612689","5"
"GSM2612690","2"
"GSM2612691","0"
"GSM2612692","4"
"GSM2612693","0"
"GSM2612694","0"
"GSM2612695","2"
"GSM2612696","4"
"GSM2612697","0"
"GSM2612698","2"
"GSM2612699","2"
"GSM2612700","0"
"GSM2612701","0"
"GSM2612702","2"
"GSM2612703","0"
"GSM2612704","0"
"GSM2612705","2"
"GSM2612706","2"
"GSM2612707","2"
"GSM2612708","5"
"GSM2612709","0"
"GSM2612710","0"
"GSM2612711","2"
"GSM2612712","2"
"GSM2612713","5"
"GSM2612714","2"
"GSM2612715","4"
"GSM2612716","9"
"GSM2612717","4"
"GSM2612718","2"
"GSM2612719","2"
"GSM2612720","0"
"GSM2612721","2"
"GSM2612722","2"
"GSM2612723","0"
"GSM2612724","0"
"GSM2612725","2"
"GSM2612726","2"
"GSM2612727","2"
"GSM2612728","2"
"GSM2612729","0"
"GSM2612730","5"
"GSM2612731","9"
"GSM2612732","9"
"GSM2612733","4"
"GSM2612734","2"
"GSM2612735","5"
"GSM2612736","0"
"GSM2612737","0"
"GSM2612738","2"
