"","x"
"X1772072122_A04","0"
"X1772072122_A06","0"
"X1772072122_A07","1"
"X1772072122_A09","1"
"X1772072122_A10","1"
"X1772072122_A11","1"
"X1772072122_A12","0"
"X1772072122_B03","0"
"X1772072122_B04","1"
"X1772072122_B05","1"
"X1772072122_B06","0"
"X1772072122_B07","0"
"X1772072122_B08","3"
"X1772072122_B09","0"
"X1772072122_B10","3"
"X1772072122_B11","0"
"X1772072122_B12","0"
"X1772072122_C01","3"
"X1772072122_C02","0"
"X1772072122_C03","1"
"X1772072122_C05","0"
"X1772072122_C07","0"
"X1772072122_C08","1"
"X1772072122_C09","0"
"X1772072122_C10","3"
"X1772072122_C11","0"
"X1772072122_C12","0"
"X1772072122_D01","0"
"X1772072122_D04","1"
"X1772072122_D05","0"
"X1772072122_D06","1"
"X1772072122_D07","3"
"X1772072122_D08","3"
"X1772072122_D09","1"
"X1772072122_D10","0"
"X1772072122_D11","0"
"X1772072122_E01","0"
"X1772072122_E02","0"
"X1772072122_E03","1"
"X1772072122_E04","1"
"X1772072122_E05","3"
"X1772072122_E06","1"
"X1772072122_E07","0"
"X1772072122_E08","0"
"X1772072122_E09","3"
"X1772072122_E10","0"
"X1772072122_E12","3"
"X1772072122_F01","0"
"X1772072122_F02","1"
"X1772072122_F03","3"
"X1772072122_F04","1"
"X1772072122_F05","0"
"X1772072122_F06","0"
"X1772072122_F07","0"
"X1772072122_F08","0"
"X1772072122_F09","0"
"X1772072122_F10","1"
"X1772072122_F11","1"
"X1772072122_F12","0"
"X1772072122_G01","0"
"X1772072122_G02","0"
"X1772072122_G04","1"
"X1772072122_G05","0"
"X1772072122_G06","0"
"X1772072122_G07","1"
"X1772072122_G08","3"
"X1772072122_G09","1"
"X1772072122_G10","0"
"X1772072122_G12","0"
"X1772072122_H02","0"
"X1772072122_H04","1"
"X1772072122_H05","3"
"X1772072122_H06","0"
"X1772072122_H08","0"
"X1772072122_H09","1"
"X1772072122_H10","3"
"X1772072122_H11","1"
"X1772072122_H12","3"
"X1772082029_A02","1"
"X1772082029_A03","0"
"X1772082029_A04","0"
"X1772082029_A05","0"
"X1772082029_A06","0"
"X1772082029_A08","3"
"X1772082029_A09","1"
"X1772082029_A11","0"
"X1772082029_B02","1"
"X1772082029_B03","0"
"X1772082029_B04","1"
"X1772082029_B05","1"
"X1772082029_B06","3"
"X1772082029_B07","3"
"X1772082029_B08","0"
"X1772082029_B09","3"
"X1772082029_B10","0"
"X1772082029_B11","1"
"X1772082029_B12","0"
"X1772082029_C01","1"
"X1772082029_C02","0"
"X1772082029_C03","3"
"X1772082029_C04","3"
"X1772082029_C05","1"
"X1772082029_C06","0"
"X1772082029_C07","1"
"X1772082029_C09","1"
"X1772082029_C10","0"
"X1772082029_C11","0"
"X1772082029_C12","3"
"X1772082029_D01","1"
"X1772082029_D02","1"
"X1772082029_D03","1"
"X1772082029_D05","1"
"X1772082029_D06","1"
"X1772082029_D07","1"
"X1772082029_D08","1"
"X1772082029_D09","0"
"X1772082029_D10","0"
"X1772082029_D11","3"
"X1772082029_D12","3"
"X1772082029_E01","1"
"X1772082029_E02","1"
"X1772082029_E03","0"
"X1772082029_E04","3"
"X1772082029_E05","0"
"X1772082029_E06","1"
"X1772082029_E07","1"
"X1772082029_E09","1"
"X1772082029_E10","0"
"X1772082029_E12","0"
"X1772082029_F01","1"
"X1772082029_F02","3"
"X1772082029_F03","3"
"X1772082029_F04","3"
"X1772082029_F05","1"
"X1772082029_F06","0"
"X1772082029_F07","1"
"X1772082029_F10","0"
"X1772082029_F11","1"
"X1772082029_G01","0"
"X1772082029_G02","1"
"X1772082029_G03","0"
"X1772082029_G04","1"
"X1772082029_G05","0"
"X1772082029_G06","1"
"X1772082029_G09","0"
"X1772082029_G10","3"
"X1772082029_G11","3"
"X1772082029_G12","0"
"X1772082029_H02","3"
"X1772082029_H03","0"
"X1772082029_H04","1"
"X1772082029_H05","0"
"X1772082029_H06","0"
"X1772082029_H07","1"
"X1772082029_H08","3"
"X1772082029_H10","0"
"X1772082029_H11","1"
"X1772082029_H12","0"
"X1772084018_C07","2"
"X1772084018_D12","2"
"X1772092002_A07","2"
"X1772092002_A10","2"
"X1772092002_B05","2"
"X1772092002_B10","2"
"X1772092002_D10","1"
"X1772092002_E07","2"
"X1772092002_E10","2"
"X1772092002_G05","2"
"X1772092002_G07","2"
"X1772092277_A10","3"
"X1772094135_F02","2"
"X1772094143_D09","2"
"X1772094143_E08","2"
"X1772096086_H03","2"
"X1772096088_F01","2"
"X1772096091_A02","2"
"X1772096092_A02","2"
"X1772096092_A10","3"
"X1772096092_D08","2"
"X1772096093_A11","2"
"X1772096093_B05","2"
"X1772096093_B10","2"
"X1772096093_C10","2"
"X1772096094_A10","2"
"X1772096094_D01","2"
"X1772096094_D02","2"
"X1772096094_D09","2"
"X1772096116_G04","2"
"X1772096118_F09","2"
"X1772096146_D02","3"
"X1772096146_D08","2"
"X1772096146_F07","2"
"X1772096149_F01","3"
"X1772096149_F12","3"
"X1772096150_B08","3"
"X1772096150_C08","2"
"X1772096150_G01","2"
"X1772096150_H03","2"
"X1772096150_H04","2"
"X1772096151_C04","1"
"X1772096151_D03","2"
"X1772096151_D11","2"
"X1772096151_E01","3"
"X1772096151_H03","1"
"X1772096151_H08","3"
"X1772096151_H09","3"
"X1772099002_A12","2"
"X1772099002_C02","2"
"X1772099002_C05","2"
"X1772099002_D02","2"
"X1772099002_E02","2"
"X1772099002_E08","2"
"X1772099002_F11","3"
"X1772099002_G09","2"
"X1772099002_H04","0"
"X1772099003_A05","0"
"X1772099003_F09","1"
"X1772099003_H07","2"
"X1772099008_A08","0"
"X1772099008_G08","2"
"X1772099008_H01","3"
"X1772099009_E05","3"
"X1772099011_D01","2"
"X1772099011_F04","2"
"X1772099011_G07","2"
"X1772099011_H05","3"
"X1772099012_E04","2"
