"","X","GSM.ID","annoated.cell.types"
"1",1,"GSM2612540","capilEC"
"2",5,"GSM2612544","vEC"
"3",9,"GSM2612548","EC1"
"4",23,"GSM2612562","vEC"
"5",29,"GSM2612568","EC1"
"6",36,"GSM2612575","capilEC"
"7",40,"GSM2612579","EC2"
"8",43,"GSM2612582","EC1"
"9",48,"GSM2612587","EC2"
"10",49,"GSM2612588","vEC"
"11",54,"GSM2612593","capilEC"
"12",56,"GSM2612595","EC1"
"13",64,"GSM2612603","EC1"
"14",70,"GSM2612609","vEC"
"15",75,"GSM2612614","aEC"
"16",77,"GSM2612616","capilEC"
"17",82,"GSM2612621","EC1"
"18",89,"GSM2612628","capilEC"
"19",105,"GSM2612644","EC1"
"20",111,"GSM2612650","EC1"
"21",114,"GSM2612653","aEC"
"22",116,"GSM2612655","capilEC"
"23",119,"GSM2612658","capilEC"
"24",129,"GSM2612668","EC3"
"25",163,"GSM2612702","capilEC"
"26",166,"GSM2612705","aEC"
"27",178,"GSM2612717","aEC"
"28",187,"GSM2612726","EC3"
"29",189,"GSM2612728","EC3"
"30",195,"GSM2612734","vEC"
"31",197,"GSM2612736","vEC"
"32",201,"GSM2612740","capilEC"
"33",204,"GSM2612743","capilEC"
"34",206,"GSM2612745","vEC"
"35",219,"GSM2612758","vEC"
"36",228,"GSM2612767","aEC"
"37",238,"GSM2612777","aEC"
"38",240,"GSM2612779","EC1"
"39",242,"GSM2612781","EC1"
"40",245,"GSM2612784","EC1"
"41",252,"GSM2612791","capilEC"
"42",253,"GSM2612792","capilEC"
"43",260,"GSM2612799","aEC"
"44",273,"GSM2612812","EC1"
"45",275,"GSM2612814","aEC"
"46",278,"GSM2612817","EC1"
"47",283,"GSM2612822","EC1"
"48",285,"GSM2612824","capilEC"
"49",296,"GSM2612835","aEC"
"50",297,"GSM2612836","EC2"
"51",300,"GSM2612839","vEC"
"52",303,"GSM2612842","EC2"
"53",309,"GSM2612848","aEC"
"54",318,"GSM2612857","aEC"
"55",322,"GSM2612861","vEC"
"56",327,"GSM2612866","aEC"
"57",330,"GSM2612869","EC1"
"58",337,"GSM2612876","EC1"
"59",340,"GSM2612879","aEC"
"60",351,"GSM2612890","aEC"
"61",353,"GSM2612892","capilEC"
"62",357,"GSM2612896","EC3"
"63",358,"GSM2612897","EC1"
"64",364,"GSM2612903","vEC"
"65",375,"GSM2612914","capilEC"
"66",381,"GSM2612920","aEC"
"67",394,"GSM2612933","aEC"
"68",396,"GSM2612935","aEC"
"69",397,"GSM2612936","capilEC"
"70",398,"GSM2612937","vEC"
"71",401,"GSM2612940","EC3"
"72",403,"GSM2612942","EC1"
"73",413,"GSM2612952","vEC"
"74",416,"GSM2612955","capilEC"
"75",428,"GSM2612967","capilEC"
"76",436,"GSM2612975","vEC"
"77",441,"GSM2612980","aEC"
"78",444,"GSM2612983","EC1"
"79",450,"GSM2612989","vEC"
"80",461,"GSM2613000","capilEC"
"81",463,"GSM2613002","capilEC"
"82",471,"GSM2613010","aEC"
"83",473,"GSM2613012","capilEC"
"84",497,"GSM2613036","aEC"
"85",513,"GSM2613052","aEC"
"86",515,"GSM2613054","capilEC"
"87",516,"GSM2613055","aEC"
"88",529,"GSM2613068","capilEC"
"89",530,"GSM2613069","EC1"
"90",532,"GSM2613071","aEC"
"91",538,"GSM2613077","aEC"
"92",551,"GSM2613090","aEC"
"93",553,"GSM2613092","vEC"
"94",557,"GSM2613096","aEC"
"95",562,"GSM2613101","EC1"
"96",566,"GSM2613105","aEC"
"97",576,"GSM2613115","EC1"
"98",578,"GSM2613117","capilEC"
"99",582,"GSM2613121","vEC"
"100",593,"GSM2613132","aEC"
"101",596,"GSM2613135","vEC"
"102",598,"GSM2613137","EC1"
"103",601,"GSM2613140","vEC"
"104",605,"GSM2613144","aEC"
"105",608,"GSM2613147","vEC"
"106",614,"GSM2613153","EC3"
"107",615,"GSM2613154","aEC"
"108",629,"GSM2613168","capilEC"
"109",631,"GSM2613170","vEC"
"110",635,"GSM2613174","capilEC"
"111",637,"GSM2613176","aEC"
"112",646,"GSM2613185","EC1"
"113",647,"GSM2613186","vEC"
"114",650,"GSM2613189","aEC"
"115",651,"GSM2613190","aEC"
"116",672,"GSM2613211","capilEC"
"117",690,"GSM2613229","vEC"
"118",691,"GSM2613230","aEC"
"119",698,"GSM2613237","vEC"
"120",704,"GSM2613243","capilEC"
"121",732,"GSM2613271","capilEC"
"122",733,"GSM2613272","capilEC"
"123",735,"GSM2613274","EC2"
"124",761,"GSM2613300","capilEC"
"125",764,"GSM2613303","EC3"
"126",770,"GSM2613309","vEC"
"127",775,"GSM2613314","capilEC"
"128",789,"GSM2613328","EC1"
"129",801,"GSM2613340","EC1"
"130",805,"GSM2613344","capilEC"
"131",809,"GSM2613348","aEC"
"132",834,"GSM2613373","aEC"
"133",840,"GSM2613379","capilEC"
"134",845,"GSM2613384","vEC"
"135",852,"GSM2613391","vEC"
"136",858,"GSM2613397","EC3"
"137",878,"GSM2613417","EC1"
"138",894,"GSM2613433","aEC"
"139",911,"GSM2613450","vEC"
"140",917,"GSM2613456","aEC"
"141",922,"GSM2613461","capilEC"
"142",927,"GSM2613466","capilEC"
"143",929,"GSM2613468","capilEC"
"144",932,"GSM2613471","EC3"
"145",939,"GSM2613478","aEC"
"146",956,"GSM2613495","aEC"
"147",963,"GSM2613502","aEC"
"148",964,"GSM2613503","vEC"
"149",973,"GSM2613512","EC3"
"150",978,"GSM2613517","EC3"
"151",979,"GSM2613518","aEC"
"152",994,"GSM2613533","EC1"
"153",996,"GSM2613535","vEC"
"154",999,"GSM2613538","capilEC"
"155",1002,"GSM2613541","aEC"
"156",1004,"GSM2613543","capilEC"
"157",1013,"GSM2613552","vEC"
"158",1017,"GSM2613556","vEC"
"159",1018,"GSM2613557","vEC"
"160",1020,"GSM2613559","aEC"
"161",1028,"GSM2613567","aEC"
"162",1033,"GSM2613572","vEC"
"163",1041,"GSM2613580","EC3"
"164",1045,"GSM2613584","vEC"
"165",1054,"GSM2613593","EC1"
"166",1055,"GSM2613594","EC2"
"167",1056,"GSM2613595","aEC"
"168",1062,"GSM2613601","capilEC"
"169",1076,"GSM2613615","vEC"
"170",1081,"GSM2613620","EC1"
"171",1083,"GSM2613622","vEC"
"172",1088,"GSM2613627","vEC"
"173",1090,"GSM2613629","aEC"
"174",1091,"GSM2613630","capilEC"
"175",1093,"GSM2613632","aEC"
"176",1094,"GSM2613633","capilEC"
"177",1101,"GSM2613640","EC2"
"178",1108,"GSM2613647","vEC"
"179",1113,"GSM2613652","capilEC"
"180",1115,"GSM2613654","vEC"
"181",1118,"GSM2613657","EC3"
"182",1121,"GSM2613660","capilEC"
"183",1154,"GSM2613693","aEC"
"184",1161,"GSM2613700","EC3"
"185",1164,"GSM2613703","aEC"
"186",1170,"GSM2613709","EC2"
