"","x"
"X1772094143_D09",0
"X1772094136_B06",0
"X1772096092_D08",0
"X1772092002_E10",0
"X1772096094_D01",0
"X1772096094_D02",0
"X1772096150_G01",0
"X1772096093_C10",0
"X1772096086_H03",0
"X1772094143_E08",0
"X1772096092_A02",0
"X1772099002_A12",0
"X1772096093_B10",0
"X1772096093_A11",0
"X1772084018_D12",0
"X1772099012_E04",0
"X1772096151_D11",0
"X1772092002_G07",0
"X1772096093_B05",0
"X1772096094_D09",0
"X1772099002_D02",0
"X1772099002_C02",0
"X1772096146_D08",0
"X1772092002_B10",0
"X1772094135_F02",0
"X1772092002_E07",0
"X1772096093_A07",0
"X1772092002_A07",0
"X1772096146_D07",0
"X1772099002_C05",0
"X1772096146_F07",0
"X1772094136_C02",0
"X1772072122_F04",1
"X1772082029_F01",1
"X1772072122_E05",1
"X1772072122_H10",1
"X1772072122_F05",1
"X1772072122_D08",1
"X1772072122_F03",1
"X1772082029_C03",1
"X1772072122_A11",1
"X1772082029_E01",1
"X1772082029_D02",1
"X1772072122_F10",1
"X1772072122_E03",1
"X1772082029_F05",1
"X1772072122_B04",1
"X1772072122_D07",1
"X1772072122_A07",1
"X1772082029_D09",1
"X1772082029_A02",1
"X1772082029_G03",1
"X1772096151_H03",1
"X1772082029_F07",2
"X1772072122_G07",2
"X1772072122_C08",2
"X1772082029_A07",2
"X1772082029_C05",2
"X1772096151_H08",2
"X1772096087_E02",2
"X1772072122_C10",3
"X1772096150_B08",3
"X1772082029_B09",3
"X1772072122_G08",3
"X1772082029_D11",3
"X1772082029_A08",3
"X1772082029_G11",3
"X1772082029_E04",3
"X1772082029_H02",3
"X1772082029_F03",3
"X1772082029_D07",3
"X1772082029_F02",4
"X1772082029_B07",4
"X1772072122_B10",4
"X1772082029_G10",4
"X1772082029_A03",4
"X1772082029_G06",5
"X1772072122_H12",5
"X1772082029_F04",5
"X1772082029_C12",5
"X1772072122_H05",5
"X1772096149_F12",5
"X1772082029_H08",5
"X1772096151_E01",5
"X1772096092_A10",5
"X1772096146_D02",5
"X1772096149_G09",6
