"dim1","dim2"
"X1772072122_A04",-4.11356924783681,6.70278319010466
"X1772072122_A05",-9.51785678274545,6.86047928108373
"X1772072122_A06",-5.34355740124425,6.81187705716394
"X1772072122_A07",0.609781333311027,0.558394223129983
"X1772072122_A08",-2.39576754341152,-10.453157378414
"X1772072122_A09",6.72329219215251,2.78640184467742
"X1772072122_A10",-6.21895643990991,6.57983864023282
"X1772072122_A11",-7.34230013408365,3.50246080466931
"X1772072122_A12",-2.56479896779041,-10.6496442991527
"X1772072122_B01",-2.41328057942337,-10.4646111276872
"X1772072122_B02",-5.69025272115418,6.85279761014811
"X1772072122_B03",-2.58810068865175,-10.7753677761077
"X1772072122_B04",7.18396906730869,3.96686485716145
"X1772072122_B05",-2.62540890116441,-11.0844954413343
"X1772072122_B06",-4.61952784578137,4.21271059353256
"X1772072122_B07",-5.51602073070166,5.79768112550606
"X1772072122_B08",-6.38144982432828,5.02233279295648
"X1772072122_B09",-4.19176564752777,4.50850135180315
"X1772072122_B10",-4.03296529673371,4.97663156918423
"X1772072122_B11",-4.90670636818206,6.37936292938161
"X1772072122_B12",-6.96962497666032,5.48058628970219
"X1772072122_C01",-1.6819544126346,-10.4968048193599
"X1772072122_C02",-1.62501814077919,-11.0030052851219
"X1772072122_C03",-1.60793655541003,-10.5831370627637
"X1772072122_C05",-1.6350601195371,-11.0343159097099
"X1772072122_C07",-4.88716218521824,5.25958099206354
"X1772072122_C08",4.14279200076345,1.23119356857353
"X1772072122_C09",-5.24079443805624,4.91155427126842
"X1772072122_C10",-1.3742010050958,-12.4332235414415
"X1772072122_C11",-1.99288674068977,-10.3577723596447
"X1772072122_C12",-2.48392369059897,-10.5336255424312
"X1772072122_D01",-2.1357244180763,-11.4319315176779
"X1772072122_D04",-9.51785678274545,6.86047928108373
"X1772072122_D05",-2.62516979954024,-11.0856320111787
"X1772072122_D06",-6.2183187302157,6.63276773761419
"X1772072122_D07",-5.72102909959268,6.0576589945704
"X1772072122_D08",-4.20695016370289,4.83472700744357
"X1772072122_D09",-5.53837946790255,5.79062835277932
"X1772072122_D10",-5.74469423171218,4.1044796367545
"X1772072122_D11",0.7594115129124,-0.0124389421360787
"X1772072122_E01",-4.69106849356417,6.73649033198236
"X1772072122_E02",7.50355126216842,2.45341815785318
"X1772072122_E03",0.316212087561478,-1.35872323150929
"X1772072122_E04",-4.98396019766916,6.85617252494068
"X1772072122_E05",-4.20695016370291,4.8347270074435
"X1772072122_E06",-2.13520892227062,-11.4321059492444
