"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Plp1","Plp1",10.1961102846908,0.908337137745313,1.20978329423401,1.20820591172614e-32
"Apod","Apod",8.5239539394967,0.957657704780835,1.0531498318369,4.6705208002677e-25
"S100b","S100b",7.57818396809009,0.962040467369621,0.941045199519469,2.82026291884723e-20
"Trf","Trf",7.63734941083314,0.9298172432672,0.916109189540965,2.75556188338056e-19
"Mal","Mal",7.54766574835342,0.929941787826345,0.905187690639484,7.33432015987754e-19
"Malat1","Malat1",11.2726880980679,0.399301100612234,0.833345826188107,3.42243537927951e-16
"Anxa1","Anxa1",6.84674402324487,0.935491937980804,0.825482706712273,6.50145192001545e-16
"Mbp","Mbp",7.01234519041983,0.906723846563419,0.816237975437896,1.37170603871787e-15
"Mog","Mog",6.64529816394863,0.936192865575982,0.802598786887747,4.06402243979092e-15
"Aldh1a1","Aldh1a1",8.30879406721648,0.732844918856565,0.801836507972101,4.31602011002022e-15
"Ugt8a","Ugt8a",6.67383905599044,0.922707213351521,0.792394934576733,9.04968637127508e-15
"Mobp","Mobp",6.26865895502767,0.928484573689743,0.752320813736832,1.90093616396363e-13
"Klk6","Klk6",5.73063995591679,0.983011937557392,0.747351789042114,2.74249121675017e-13
"Cldn11","Cldn11",6.1106138055009,0.930996851091887,0.73727601863196,5.72365407614629e-13
"9630013A20Rik","9630013A20Rik",5.46270675067016,0.993014561196379,0.727681530131161,1.14263559065708e-12
"Cnp","Cnp",6.06824086131282,0.918662798465444,0.720251156629207,1.93963915879324e-12
"Mag","Mag",5.88508622529017,0.927454323092317,0.708825318164579,4.33023637987218e-12
"Opalin","Opalin",5.52669484554198,0.958158452684869,0.699937852800107,8.01611085557695e-12
"Vip","Vip",5.17392693199981,0.994141646615755,0.696371333915076,1.024105129655e-11
"Apoe","Apoe",5.1333991254172,0.991473173291355,0.689093568619228,1.6816703740984e-11
"Car2","Car2",5.70321146739115,0.927159293469454,0.688471817046544,1.75403345825541e-11
"Tspan2","Tspan2",6.15177765473205,0.865603789682792,0.676444120691446,3.9332334263524e-11
"Gsn","Gsn",5.83541884047548,0.895805180580646,0.671700428729403,5.38735170424861e-11
"Cd9","Cd9",5.83541884047548,0.893324387789332,0.669219635938089,6.34518725806043e-11
"Itih5","Itih5",4.91169158187234,0.992862509391435,0.664942448010943,8.40158152998189e-11
"Spp1","Spp1",5.04875931191986,0.973107700380428,0.661046089396996,1.08329035678434e-10
"Ermn","Ermn",5.39574832817903,0.923918969013716,0.651118871866167,2.05619370534245e-10
"Cryab","Cryab",5.25171909260596,0.938595567721219,0.649628705513217,2.26193702603678e-10
"Sparc","Sparc",5.09169983413681,0.956597887362487,0.649458054845533,2.28674328277315e-10
"Enpp2","Enpp2",6.67383905599044,0.776695526695527,0.646383247920739,2.78198923853467e-10
"Sepp1","Sepp1",5.17392693199981,0.943653971770186,0.645883659069507,2.8717759828471e-10
"Gad2","Gad2",5.00450139223494,0.957655736248112,0.640499068240802,4.03795633975494e-10
"1700094D03Rik","1700094D03Rik",4.70597790168252,0.95573022019303,0.603521282383412,3.88461794691716e-09
"Atp1a2","Atp1a2",4.64961545906341,0.962174189446917,0.603194017106631,3.96087299799614e-09
"Ptn","Ptn",5.49505552836802,0.860083833759439,0.598349060119197,5.27530427527636e-09
"Ptgds","Ptgds",4.32912359629157,0.990633608815427,0.592029063243549,7.64012299324448e-09
"Aspa","Aspa",4.64961545906341,0.947855175127902,0.588875002787617,9.17789409614298e-09
"Qk","Qk",5.64673869830785,0.828010121523441,0.583084347512307,1.28193478057464e-08
"Sept4","Sept4",4.81249822533356,0.92042596282625,0.580873175377233,1.45514769019338e-08
"Lyz2","Lyz2",4.17791779219584,0.997125404240029,0.579073626358887,1.61268422049238e-08
"Ctss","Ctss",4.17791779219584,0.995867768595041,0.5778159907139,1.73247429044589e-08
"Calca","Calca",4.32912359629157,0.967421248053659,0.568816702481781,2.87994057348734e-08
"Pdlim2","Pdlim2",4.39917109381982,0.953168044077135,0.563399712798962,3.89574756484788e-08
"Crh","Crh",4.09592441999854,0.987750885478158,0.558926334389306,4.98893967262286e-08
"Psat1","Psat1",4.86294724802092,0.88961335603638,0.555994384041877,5.86075719865647e-08
"Irgm1","Irgm1",4.39917109381982,0.943969743661577,0.554201412383405,6.4647038821965e-08
"Nfkbia","Nfkbia",4.64961545906341,0.907505943620514,0.548525771280229,8.80011664899919e-08
"Csf1r","Csf1r",3.91647664443772,0.996458087367178,0.543452496171031,1.15628038868195e-07
"Fa2h","Fa2h",4.32912359629157,0.94062040076984,0.542015855197963,1.24865893525462e-07
"Scd2","Scd2",7.18090370917938,0.611839390231211,0.541912411915193,1.25557887425488e-07
"Gpm6b","Gpm6b",6.15177765473205,0.730759297520661,0.541599628529315,1.27672892435384e-07
"Vtn","Vtn",3.91647664443772,0.993960584869676,0.540954993673528,1.3214092855556e-07
"Ier5","Ier5",4.00898878322726,0.980716253443526,0.54028373854175,1.36953865801116e-07
